PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
PROMPT_SPACE,,, 
PROMPT_POINT,,,PUNT
PROMPT_0,,,0
PROMPT_1,,,1
PROMPT_2,,,2
PROMPT_3,,,3
PROMPT_4,,,4
PROMPT_5,,,5
PROMPT_6,,,6
PROMPT_7,,,7
PROMPT_8,,,8
PROMPT_9,,,9
PROMPT_A,,,A
PROMPT_B,,,B
PROMPT_C,,,C
PROMPT_D,,,D
PROMPT_E,,,E
PROMPT_F,,,F
PROMPT_G,,,G
PROMPT_H,,,H
PROMPT_I,,,I
PROMPT_J,,,J
PROMPT_K,,,K
PROMPT_L,,,L
PROMPT_M,,,M
PROMPT_N,,,N
PROMPT_O,,,O
PROMPT_P,,,P
PROMPT_Q,,,Q
PROMPT_R,,,R
PROMPT_S,,,S
PROMPT_T,,,T
PROMPT_U,,,U
PROMPT_V,,,V
PROMPT_W,,,W
PROMPT_X,,,X
PROMPT_Y,,,Y
PROMPT_Z,,,Z
PROMPT_Z2,,,Z
PROMPT_CHANNEL,,,CANAL
PROMPT_CONTACT,,,CONTACTE
PROMPT_DBM,,,D B M
PROMPT_ENTRY,,,ENTRADA
PROMPT_MEGAHERTZ,,,MEGAHERTZS
PROMPT_KILOHERTZ,,,KILOHERTZS
PROMPT_TALKGROUP,,,GRUP
PROMPT_TIMESLOT,,,ESLOT
PROMPT_VFO,,,B F O
PROMPT_SECONDS,,,Segons
PROMPT_Minutes,,,Minuts
PROMPT_Hours,,,Hores
PROMPT_VOLTS,,,Volts
PROMPT_WATT,,,Vat
PROMPT_WATTS,,,Vats
PROMPT_MILLIWATTS,,,Milivats
PROMPT_PERCENT,,,Per cent
PROMPT_RECEIVE,,,Recepció
PROMPT_Transmit,,,Transmissió
PROMPT_HASH,,,Cuadradet
PROMPT_STAR,,,Asterisc
PROMPT_GREEN,,,Verd
PROMPT_RED,,,Vermell
PROMPT_VERSION,,,Versió
PROMPT_MODE,,,Mode
PROMPT_DMR,,,D M R
PROMPT_FM,,,F M
PROMPT_WIDE,,,Ample
PROMPT_NARROW,,,Estret
PROMPT_PLUS,,,més
PROMPT_MINUS,,,menys
PROMPT_VFO_EXCHANGE_TX_RX,,,Intercanvia frequencies de T X i R X
PROMPT_VFO_COPY_RX_TO_TX,,,Copia la freqüència de recepció a Transmissió
PROMPT_VFO_COPY_TX_TO_RX,,,Copia la freqüència de Transmissió a recepció
PROMPT_POWER,,,potència
PROMPT_CHANNEL_MODE,,,mode de canals
PROMPT_SCAN_MODE,,,mode d escaneig
PROMPT_TIMESLOT_MODE,,,mode Time eslot
PROMPT_FILTER_MODE,,,mode de filtre
PROMPT_ZONE_MODE,,,mode de sona
PROMPT_POWER_MODE,,,mode de potencia
PROMPT_COLORCODE_MODE,,,mode codi color
PROMPT_HERTZ,,,Hersos
PROMPT_TBD2,,,
PROMPT_TBD3,,,
PROMPT_TBD4,,,
PROMPT_TBD5,,,
PROMPT_TBD6,,,
PROMPT_TBD7,,,
PROMPT_TBD8,,,
PROMPT_TBD9,,,
PROMPT_TBD10,,,
PROMPT_TBD11,,,
PROMPT_TBD12,,,
PROMPT_TBD13,,,
PROMPT_TBD14,,,
PROMPT_TBD15,,,
PROMPT_TBD16,,,
PROMPT_TBD17,,,
PROMPT_TBD18,,,
PROMPT_TBD19,,,
PROMPT_TBD20,,,
LANGUAGE_NAME,,,Catalá
menu,,,Menú
credits,,,Crèdits
zone,,,Sona
rssi,,,Senyal
battery,,,Batería
contacts,,,Contactes
last_heard,,,Escoltats darrerament
firmware_info,,,Informació del firmware
options,,,Opcións
display_options,,,Opcións de pantalla
sound_options,,,Opcións de só
channel_details,,,Detalls del Canal
language,,,Idioma
new_contact,,,Nou contacte
contact_list,,,Contactes
contact_details,,,Detall del contacte
hotspot_mode,,,Mode hot espot
built,,,Compilat
zones,,,Zones
keypad,,,Teclat
ptt,,,P T T
locked,,,blocat
press_blue_plus_star,,,Prem Blau i asterisc
to_unlock,,,per desblocar
unlocked,,,Desblocat
power_off,,,Apagant
error,,,ERROR
rx_only,,,Nomes R ics
out_of_band,,,FORA DE BANDA
timeout,,,final del temps
tg_entry,,,Entreu T G
pc_entry,,,Entreu I D
user_dmr_id,,,I D D M R del Usuari
contact,,,Contacte
accept_call,,,Acceptar trucada?
private_call,,,Trucada privada
squelch,,,Silenciador
quick_menu,,,Menú Ràpit
filter,,,Filtre
all_channels,,,Llista total
gotoChannel,,,Anar al canal
scan,,,escanejar
channelToVfo,,,Canal a B F O
vfoToChannel,,,B F O a Canal
vfoToNewChannel,,,B F O a Nou Canal
group,,,Grup
private,,,Privada
all,,,Tots
type,,,Tipus
timeSlot,,,Taim eslot
none,,,Cap
contact_saved,,,Contacte Desat
duplicate,,,Duplicat
tg,,,T G
pc,,,I D
ts,,,T S
mode,,,Mode
colour_code,,,Codi de Color
n_a,,,No disponible
bandwidth,,,Ample de banda
stepFreq,,,Salt
tot,,,Temps de Transmissió
off,,,apagat
zone_skip,,,Saltar sona
all_skip,,,Saltar tot
yes,,,Si
no,,,No
rx_group,,,Llista de T G i I D
on,,,Si
timeout_beep,,,Avis fi de temps 
factory_reset,,,Reinici de fàbrica
calibration,,,Calibració
band_limits,,,Límit de bandes
beep_volume,,,Volum dels tons
dmr_mic_gain,,,Guany de Micro D M R
fm_mic_gain,,,Guan de micro F M
key_long,,,Premer llarg
key_repeat,,,Premer repetidament
dmr_filter_timeout,,,Filtre temps
brightness,,,Brillantor
brightness_off,,,Brillantor mínima
contrast,,,Contrast
colour_invert,,,Invers
colour_normal,,,Normal
backlight_timeout,,,Temps diluminació
scan_delay,,,Temps descaneig
yes___in_uppercase,,,SI
no___in_uppercase,,,NO
DISMISS,,,PASSAR
scan_mode,,,Mode Escaner
hold,,,Parar
pause,,,Pausa
empty_list,,,Llista buida
delete_contact_qm,,,Esborrar contacte?
contact_deleted,,,Contacte esborrat
contact_used,,,Contacte en ús a
in_rx_group,,,la Llista T G i I D
select_tx,,,Seleccionar T X
edit_contact,,,Editar Contacte
delete_contact,,,Esborrar Contacte
group_call,,,Cridar a Grup
all_call,,,Cridar a Tots
tone_scan,,,Escaner de subtó
low_battery,,,BATERIA BAIXA !!
Auto,,,Automàtic
manual,,,Manual
ptt_toggle,,,Enclavar P T T
private_call_handling,,,Gestió de trucada privada
stop,,,Parar
one_line,,,una linia
two_lines,,,dues linies
new_channel,,,Nou canal
priority_order,,,Prioritat
dmr_beep,,,To D M R
start,,,Inici
both,,,Tots
vox_threshold,,,llindar de veu dobertura del P T T
vox_tail,,,Cua del P T T activat per veu
audio_prompt,,,Veus
silent,,,Silenci
normal,,,Normal
beep,,,Bip
voice_prompt_level_1,,,Veu
transmitTalkerAlias,,,Transmissió del talker alias
squelch_VHF,,,silenciador cent cuaranta cuatre 
squelch_220,,,silenciador dos cents vint
squelch_UHF,,,silenciador cuatre cents cuaranta
display_background_colour,,,color de fóns de la pantalla
openGD77,,,Open G D setanta set
openGD77S,,,Open G D setanta set S
openDM1801,,,Open D M dibuit 0 1
openRD5R,,,Open R D cinc R
gitCommit,,,revisió del G I T
voice_prompt_level_2,,,mode de veu 2
voice_prompt_level_3,,,mode de veu 3
dmr_filter,,,Filtre D M R
dmr_cc_filter,,,Filtre de color
dmr_ts_filter,,,Filtre de eslot
dtmf_contact_list,,,Lista D t m f
channel_power,,,potencia del canal
channel_power_from_master,,,potencia dels canal des del Master
set_quickkey,,,Ajust de tecla rapida
dual_watch,,,escolta doble
info,,,Informació
pwr,,,Potencia
user_power,,,nivel de potencia del usuari
temperature,,,Temperature
celcius,,,Celcius
fahrenheit,,,Fahrenheit
radio_infos,,,Radio informations
temperature_calibration,,,Temperature calibration
