PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
PROMPT_SPACE,,,
PROMPT_POINT,,,点
PROMPT_0,,,0
PROMPT_1,,,1
PROMPT_2,,,2
PROMPT_3,,,3
PROMPT_4,,,4
PROMPT_5,,,5
PROMPT_6,,,6
PROMPT_7,,,7
PROMPT_8,,,8
PROMPT_9,,,9
PROMPT_A,,,A
PROMPT_B,,,B
PROMPT_C,,,C
PROMPT_D,,,D
PROMPT_E,,,E
PROMPT_F,,,F
PROMPT_G,,,G
PROMPT_H,,,H
PROMPT_I,,,I
PROMPT_J,,,J
PROMPT_K,,,K
PROMPT_L,,,L
PROMPT_M,,,M
PROMPT_N,,,N
PROMPT_O,,,O
PROMPT_P,,,P
PROMPT_Q,,,Q
PROMPT_R,,,R
PROMPT_S,,,S
PROMPT_T,,,T
PROMPT_U,,,U
PROMPT_V,,,V
PROMPT_W,,,W
PROMPT_X,,,X
PROMPT_Y,,,Y
PROMPT_Z,,,Zed
PROMPT_Z2,,,Z
PROMPT_CHANNEL,,,信道
PROMPT_CONTACT,,,联系人
PROMPT_DBM,,,D B M
PROMPT_ENTRY,,,输入
PROMPT_MEGAHERTZ,,,兆赫
PROMPT_KILOHERTZ,,,千赫
PROMPT_TALKGROUP,,,通话组
PROMPT_TIMESLOT,,,时隙
PROMPT_VFO,,,频率模式
PROMPT_SECONDS,,,秒
PROMPT_Minutes,,,分
PROMPT_Hours,,,时
PROMPT_VOLTS,,,伏
PROMPT_WATT,,,瓦
PROMPT_WATTS,,,瓦
PROMPT_MILLIWATTS,,,毫瓦
PROMPT_PERCENT,,,百分之
PROMPT_RECEIVE,,,接收
PROMPT_Transmit,,,发射
PROMPT_HASH,,,井号
PROMPT_STAR,,,星号
PROMPT_GREEN,,,绿色
PROMPT_RED,,,红色
PROMPT_VERSION,,,版本
PROMPT_MODE,,,模式
PROMPT_DMR,,,D M R
PROMPT_FM,,,F M
PROMPT_WIDE,,,宽
PROMPT_NARROW,,,窄
PROMPT_PLUS,,,加
PROMPT_MINUS,,,减
PROMPT_VFO_EXCHANGE_TX_RX,,,交换发射与接收频率
PROMPT_VFO_COPY_RX_TO_TX,,,拷贝接收频率到发射
PROMPT_VFO_COPY_TX_TO_RX,,,拷贝发射频率至接收
PROMPT_POWER,,,功率
PROMPT_CHANNEL_MODE,,,信道模式
PROMPT_SCAN_MODE,,,扫描模式
PROMPT_TIMESLOT_MODE,,,时隙模式
PROMPT_FILTER_MODE,,,过滤模式
PROMPT_ZONE_MODE,,,区域模式
PROMPT_POWER_MODE,,,电源模式
PROMPT_COLORCODE_MODE,,,色码模式
PROMPT_HERTZ,,,赫兹
PROMPT_SETTINGS_UPDATE,,,设置更新
LANGUAGE_NAME,,,中文
menu,,,菜单
credits,,,致谢
zone,,,区域
rssi,,,信号强度
battery,,,电池
contacts,,,联系人
last_heard,,,回溯界面
firmware_info,,,固件信息
options,,,选项设定
display_options,,,显示设定
sound_options,,,声音设定
channel_details,,,信道详情
language,,,语言
new_contact,,,新联系人
dmr_contacts,,,联系人列表
contact_details,,,联系人详情
hotspot_mode,,,热点模式
built,,,编译于
zones,,,区域
keypad,,,键盘
ptt,,,P T T
locked,,,已锁定
press_blue_plus_star,,,按蓝色加星号
to_unlock,,,开锁请
unlocked,,,已解锁
power_off,,,关机
error,,,错误
rx_only,,,仅接收
out_of_band,,,超出业余段
timeout,,,超时
tg_entry,,,输入通话组
pc_entry,,,输入单呼号码
user_dmr_id,,,用户D M R I D
contact,,,联系人显示方式
accept_call,,,接受单呼
private_call,,,单呼
squelch,,,静噪
quick_menu,,,快捷菜单
filter,,,哑音
all_channels,,,所有信道
gotoChannel,,,跳转到信道
scan,,,扫描
channelToVfo,,,拷贝信道到频率
vfoToChannel,,,拷贝频率至信道
vfoToNewChannel,,,存储频率到新信道
group,,,组呼
private,,,单呼
all,,,所有
type,,,类型
timeSlot,,,时隙
none,,,无
contact_saved,,,联系人已保存
duplicate,,,重复
tg,,,通话组
pc,,,单呼
ts,,,时隙
mode,,,模式
colour_code,,,色码
n_a,,,不适用
bandwidth,,,带宽
stepFreq,,,步进
tot,,,超时定时器
off,,,关
zone_skip,,,跳过区域
all_skip,,,跳过全部
yes,,,是
no,,,否
rx_group,,,接收组
on,"<emphasis level=""strong"">",</emphasis>,开
timeout_beep,,,超时警告
UNUSED_1,,,
calibration,,,校准参数
band_limits,,,波段限制
beep_volume,,,警告音量
dmr_mic_gain,,,D M R 麦克风增益
fm_mic_gain,,,F M 麦克风增益
key_long,,,按键长按时间
key_repeat,,,按键重复速度
dmr_filter_timeout,,,过滤时间
brightness,,,亮度
brightness_off,,,最小亮度
contrast,,,对比度
colour_invert,,,反色
colour_normal,,,正常
backlight_timeout,,,背光延时
scan_delay,,,扫描延迟
yes___in_uppercase,,,是的
no___in_uppercase,,,不
DISMISS,,,忽略
scan_mode,,,扫描模式
hold,,,保持
pause,,,暂停
empty_list,,,空列表
delete_contact_qm,,,是否删除联系人？
contact_deleted,,,联系人已删除
contact_used,,,使用的联系人
in_rx_group,,,在接收组
select_tx,,,选择联系人
edit_contact,,,编辑联系人
delete_contact,,,删除联系人
group_call,,,组呼
all_call,,,全呼
tone_scan,,,哑音扫描
low_battery,,,低电量
Auto,,,自动
manual,,,手动
ptt_toggle,,,P T T 保持
private_call_handling,,,允许单呼
stop,,,结束时
one_line,,,一行
two_lines,,,两行
new_channel,,,新信道
priority_order,,,联系人显示顺序
dmr_beep,,,D M R 提示音
start,,,接通时
both,,,两者都
vox_threshold,,,声控发射阈值
vox_tail,,,声控发射延迟
audio_prompt,,,语音提示
silent,,,无
normal,,,正常
beep,,,提示音
voice_prompt_level_1,,,语音模式1
transmitTalkerAlias,,,发射别名
squelch_VHF,,,V H F 静噪
squelch_220,,,二二零兆 静噪
squelch_UHF,,,U H F 静噪
display_background_colour,,,显示背景色
openGD77,,,open G D 7 7
openGD77S,,,open G D 7 7 S
openDM1801,,,open D M 1 8 0 1
openRD5R,,,open R D 5 R
gitCommit,,,Git版本
voice_prompt_level_2,,,语音模式2
voice_prompt_level_3,,,语音模式3
dmr_filter,,,D M R 过滤模式
dmr_cc_filter,,,色码过滤
dmr_ts_filter,,,时隙过滤
dtmf_contact_list,,,D T M F 书
channel_power,,,通道功率
channel_power_from_master,,,主通道电源
set_quickkey,,,设置快捷键
dual_watch,,,双手表
info,,,信息
pwr,,,功率
user_power,,,用户功率等级
temperature,,,温度
celcius,,,摄氏温度
seconds,,,Seconds
radio_info,,,广播信息
temperature_calibration,,,温度校准
pin_code,,,输入密码
please_confirm,,,请确认
scanning,,,
overwrite_qm,,,Overwrite ?
