PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
PROMPT_SPACE,,, 
PROMPT_POINT,,,POJNT
PROMPT_0,,,0
PROMPT_1,,,1
PROMPT_2,,,2
PROMPT_3,,,3
PROMPT_4,,,4
PROMPT_5,,,5
PROMPT_6,,,6
PROMPT_7,,,7
PROMPT_8,,,8
PROMPT_9,,,9
PROMPT_A,,,A
PROMPT_B,,,B
PROMPT_C,,,C
PROMPT_D,,,D
PROMPT_E,,,E
PROMPT_F,,,F
PROMPT_G,,,G
PROMPT_H,,,H
PROMPT_I,,,I
PROMPT_J,,,J
PROMPT_K,,,K
PROMPT_L,,,L
PROMPT_M,,,M
PROMPT_N,,,N
PROMPT_O,,,O
PROMPT_P,,,P
PROMPT_Q,,,Q
PROMPT_R,,,R
PROMPT_S,,,S
PROMPT_T,,,T
PROMPT_U,,,U
PROMPT_V,,,V
PROMPT_W,,,W
PROMPT_X,,,X
PROMPT_Y,,,Y
PROMPT_Z,,,Zed
PROMPT_Z2,,,Z
PROMPT_CHANNEL,,,KANÁL
PROMPT_CONTACT,,,KONTAKT
PROMPT_DBM,,,D B M
PROMPT_ENTRY,,,VSTUP
PROMPT_MEGAHERTZ,,,MEGAHERTZ
PROMPT_KILOHERTZ,,,KILOHERTZ
PROMPT_TALKGROUP,,,TALKGROUP
PROMPT_TIMESLOT,,,TAJMSLOT
PROMPT_VFO,,,VFO
PROMPT_SECONDS,,,Sekund
PROMPT_Minutes,,,Minut
PROMPT_Hours,,,Hodin
PROMPT_VOLTS,,,Voltů
PROMPT_WATT,,,Wat
PROMPT_WATTS,,,Waty
PROMPT_MILLIWATTS,,,Miliwat
PROMPT_PERCENT,,,Procent
PROMPT_RECEIVE,,,Přijímat
PROMPT_Transmit,,,Vysílat
PROMPT_HASH,,,Haš
PROMPT_STAR,,,Hvězdička
PROMPT_GREEN,,,Zelené
PROMPT_RED,,,Červené
PROMPT_VERSION,,,Verze
PROMPT_MODE,,,Režim
PROMPT_DMR,,,D M R
PROMPT_FM,,,F M
PROMPT_WIDE,,,Široká
PROMPT_NARROW,,,Úzká
PROMPT_PLUS,,,Plus
PROMPT_MINUS,,,Mínus
PROMPT_TBD1,,,T D B 1
