PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
PROMPT_SPACE,,, 
PROMPT_POINT,,,TEČKA
PROMPT_0,,,NULA
PROMPT_1,,,JEDNA
PROMPT_2,,,DVA
PROMPT_3,,,TŘY
PROMPT_4,,,ČTYŘI
PROMPT_5,,,PJET
PROMPT_6,,,ŠEST
PROMPT_7,,,SEDUM
PROMPT_8,,,OSUM
PROMPT_9,,,DEVJED
PROMPT_A,,,A
PROMPT_B,,,B
PROMPT_C,,,C
PROMPT_D,,,D
PROMPT_E,,,E
PROMPT_F,,,F
PROMPT_G,,,GÉÉÉ
PROMPT_H,,,HÁ-ÁÁ
PROMPT_I,,,I
PROMPT_J,,,JEE
PROMPT_K,,,K
PROMPT_L,,,ELLL
PROMPT_M,,,M
PROMPT_N,,,N
PROMPT_O,,,O
PROMPT_P,,,P
PROMPT_Q,,,QVÉ-É
PROMPT_R,,,R
PROMPT_S,,,S
PROMPT_T,,,T
PROMPT_U,,,U
PROMPT_V,,,VÉÉ
PROMPT_W,,,DVOJVE
PROMPT_X,,,X
PROMPT_Y,,,YPSYLON
PROMPT_Z,,,Zed
PROMPT_Z2,,,Z
PROMPT_CHANNEL,,,KANÁL
PROMPT_CONTACT,,,KONTAKT
PROMPT_DBM,,,D B M
PROMPT_ENTRY,,,VSTUP
PROMPT_MEGAHERTZ,,,MEGAHERTZ
PROMPT_KILOHERTZ,,,KILOHERTZ
PROMPT_TALKGROUP,,,TALKGROUP
PROMPT_TIMESLOT,,,TAJM SLOT
PROMPT_VFO,,,VEFO
PROMPT_SECONDS,,,Sekund
PROMPT_Minutes,,,Minutu
PROMPT_Hours,,,Hodin
PROMPT_VOLTS,,,Voltů
PROMPT_WATT,,,Wat
PROMPT_WATTS,,,Watů
PROMPT_MILLIWATTS,,,Miliwat
PROMPT_PERCENT,,,Procent
PROMPT_RECEIVE,,,Příjem
PROMPT_Transmit,,,Vysýláníí
PROMPT_HASH,,,Haš
PROMPT_STAR,,,Hvjězda
PROMPT_GREEN,,,Zelené
PROMPT_RED,,,Červené
PROMPT_VERSION,,,Verse
PROMPT_MODE,,,Režim
PROMPT_DMR,,,DIEMÁRK
PROMPT_FM,,,EFEM
PROMPT_WIDE,,,Široká
PROMPT_NARROW,,,Úzká
PROMPT_PLUS,,,Plus
PROMPT_MINUS,,,Mínus
PROMPT_VFO_EXCHANGE_TX_RX,,,zmjeň frekvenci T X za R X
PROMPT_VFO_COPY_RX_TO_TX,,,Kopííruj frekvenci R X na T X
PROMPT_VFO_COPY_TX_TO_RX,,,kopííruj frekvenci T X na R X
PROMPT_POWER,,,napáájení
PROMPT_CHANNEL_MODE,,,kanal mood
PROMPT_SCAN_MODE,,,sken mood
PROMPT_TIMESLOT_MODE,,,tajm slot mood
PROMPT_FILTER_MODE,,,filtr mood
PROMPT_ZONE_MODE,,,zóna mood
PROMPT_POWER_MODE,,,napáájení mood
PROMPT_COLORCODE_MODE,,,kolor kood mood
PROMPT_HERTZ,,,HERTZ
PROMPT_SETTINGS_UPDATE,,,Nastavení aktualizace
LANGUAGE_NAME,,,Čeština
menu,,,Me nu
credits,,,přispjěvatelé
zone,,,Zóna
rssi,,,Síla sygnálu
battery,,,Baterie
contacts,,,Kontakty
last_heard,,,Poslední Kdo Volal
firmware_info,,,Firmvejr info
options,,,Nastavení
display_options,,,Nastavení Dysplej
sound_options,,,Nastavení zvuk
channel_details,,,Kanál Detajl
language,,,Jazyk
new_contact,,,Nový Kontakt
dmr_contacts,,,Kontakty
contact_details,,,Kontakt detajl
hotspot_mode,,,Hotspot mood
built,,,Verse sestavení
zones,,,Zoonyy
keypad,,,Klaavesa
ptt,,,PE T T
locked,,,Zamčeno
press_blue_plus_star,,,Stlač Modré + hvjezda
to_unlock,,,Odemknout
unlocked,,,Odemčeno
power_off,,,Vypýnání
error,,,CHYBA
rx_only,,,Jen R X
out_of_band,,,MIMO PAASMO
timeout,,,Čas Limit
tg_entry,,,Talk Group Zadání
pc_entry,,,Kontakt Zadání
user_dmr_id,,,Diemark I DE uživatele
contact,,,Kontakty
accept_call,,,Přiijmout hovor?
private_call,,,Soukromý hovor
squelch,,,Skvelč
quick_menu,,,Rychlé mennu
filter,,,Filtr
all_channels,,,Všechny Kanály
gotoChannel,,,Další kanál
scan,,,Sken
channelToVfo,,,Kanál do VEFO
vfoToChannel,,,VEFO do Kanál
vfoToNewChannel,,,VEFO do Nový Kanál
group,,,Group
private,,,Soukromé
all,,,Všechno
type,,,Typ
timeSlot,,,TajmSlot
none,,,Není
contact_saved,,,Kontakt uložen
duplicate,,,Duplikát
tg,,,Talk Group
pc,,,Kontakt
ts,,,Tajmslot
mode,,,Mood
colour_code,,,Kolor kood
n_a,,,Ne či ano
bandwidth,,,Šířka Paasma
stepFreq,,,Krok frekveence
tot,,,TEOTE
off,,,Vypnuto
zone_skip,,,vyřaď při skenu vzooňě
all_skip,,,vyřaď při skenu všech kanaalů
yes,,,Ano
no,,,Nee
rx_group,,,R X Group
on,,,Zapnuto
timeout_beep,,,Čas Limit pípnutí
UNUSED_1,,,
calibration,,,Kalibrace
band_limits,,,Omezit Pásmo
beep_volume,,,Zvuk kláves
dmr_mic_gain,,,DIEMARK mikrofon gejn
fm_mic_gain,,,F M mikrofon gejn
key_long,,,Držet
key_repeat,,,Znovu stlač klávesu
dmr_filter_timeout,,,Čas DIEMARK Filtr
brightness,,,Jas
brightness_off,,,Minymum Jas
contrast,,,Kontrast
colour_invert,,,Černá
colour_normal,,,Biýlaá
backlight_timeout,,,Doba svícení
scan_delay,,,Sken pauza
yes___in_uppercase,,,ANO
no___in_uppercase,,,NEE
DISMISS,,,ODMÍTNOUT
scan_mode,,,Sken Mood
hold,,,Zastavit
pause,,,Pauza
empty_list,,,Prázdný seznam
delete_contact_qm,,,Smazat kontakt?
contact_deleted,,,Kontakt smazán
contact_used,,,Použít kontakt
in_rx_group,,,ve - R X Group
select_tx,,,Vybrat T X
edit_contact,,,Upravit kontakt
delete_contact,,,Smazat Kontakt
group_call,,,Group seznam
all_call,,,Všechny čísla
tone_scan,,,Subton CT CSS Sken
low_battery,,,SLABÁ BATERIE!
Auto,,,Auto
manual,,,Manualní
ptt_toggle,,,PE T T přepnout
private_call_handling,,,Soukromé Volání
stop,,,Na koncy
one_line,,,Jeden řádek
two_lines,,,Dva řádky
new_channel,,,Nový Kanál
priority_order,,,Priorita čtení I DE
dmr_beep,,,pípnutí ve DIEMARK
start,,,na začátku
both,,,Na začátku i na koncy
vox_threshold,,,VOX Prách cytlivost
vox_tail,,,VOX poslouchá ještě sekund
audio_prompt,,,Výzva Zvukem
silent,,,Tichý
normal,,,Normální
beep,,,PíÍpání
voice_prompt_level_1,,,Hlas jedna
transmitTalkerAlias,,,vyslat talkrr alyas
squelch_VHF,,,VE HA EF Skvelč
squelch_220,,,dvjestedvacet Skvelč
squelch_UHF,,,U HA EF Skvelč
display_background_colour,,,Barva dyspleje
openGD77,,,Open Gee De sedumdesát sedum
openGD77S,,,Open Gee De sedumdesát sedum S
openDM1801,,,Open D M osumnáct nula jedna
openRD5R,,,Open R D pjet R
gitCommit,,,Git Zavázat se
voice_prompt_level_2,,,hlas dva
voice_prompt_level_3,,,hlas třy
dmr_filter,,,DIEMARK filtr
dmr_cc_filter,,,Kolor kood Filtr
dmr_ts_filter,,,Tajm slot Filtr
dtmf_contact_list,,,DTMF list
channel_power,,,vysýlacý vyykon
channel_power_from_master,,,nastavuje operátor
set_quickkey,,,Nastaveni rychlee kláavesy
dual_watch,,,Hlídat dva kanáli
info,,,informace
pwr,,,vyysýlacy vyykon
user_power,,,max výkon při ++
temperature,,,Teplota
celcius,,,Stupnjě celzya
seconds,,,Sekund
radio_info,,,Info o rádiu
temperature_calibration,,,Kalibrace teploty
pin_code,,,Zadej pin kood
please_confirm,,,potvrďit
vfo_freq_bind_mode,,,Bind Transmit and Receive frequencies
overwrite_qm,,,Přepsat ?
