PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
PROMPT_SPACE,,, 
PROMPT_POINT,,,POINT
PROMPT_0,,,0
PROMPT_1,,,1
PROMPT_2,,,2
PROMPT_3,,,3
PROMPT_4,,,4
PROMPT_5,,,5
PROMPT_6,,,6
PROMPT_7,,,7
PROMPT_8,,,8
PROMPT_9,,,9
PROMPT_A,,,A
PROMPT_B,,,B
PROMPT_C,,,C
PROMPT_D,,,D
PROMPT_E,,,E
PROMPT_F,,,F
PROMPT_G,,,G
PROMPT_H,,,H
PROMPT_I,,,I
PROMPT_J,,,J
PROMPT_K,,,K
PROMPT_L,,,L
PROMPT_M,,,M
PROMPT_N,,,N
PROMPT_O,,,O
PROMPT_P,,,P
PROMPT_Q,,,Q
PROMPT_R,,,R
PROMPT_S,,,S
PROMPT_T,,,T
PROMPT_U,,,U
PROMPT_V,,,V
PROMPT_W,,,W
PROMPT_X,,,X
PROMPT_Y,,,Y
PROMPT_Z,,,Zed
PROMPT_Z2,,,Z
PROMPT_CHANNEL,,,Channel
PROMPT_CONTACT,,,Contact
PROMPT_DBM,,,D B M
PROMPT_ENTRY,,,Entry
PROMPT_MEGAHERTZ,,,Megahertz
PROMPT_KILOHERTZ,,,Kilohertz
PROMPT_TALKGROUP,,,Talkgroup
PROMPT_TIMESLOT,,,Timeslot
PROMPT_VFO,,,V F O
PROMPT_SECONDS,,,Seconds
PROMPT_Minutes,,,Minutes
PROMPT_Hours,,,Hours
PROMPT_VOLTS,,,Volts
PROMPT_WATT,,,Wattt
PROMPT_WATTS,,,Watts
PROMPT_MILLIWATTS,,,Milliwatts
PROMPT_PERCENT,,,Percent
PROMPT_RECEIVE,,,Receive
PROMPT_Transmit,,,Transmit
PROMPT_HASH,,,Hash
PROMPT_STAR,,,Start
PROMPT_GREEN,,,Green
PROMPT_RED,,,Red
PROMPT_VERSION,,,Version
PROMPT_MODE,,,Mode
PROMPT_DMR,,,D M R
PROMPT_FM,,,F M
PROMPT_WIDE,,,Wide
PROMPT_NARROW,,,Narrow
PROMPT_PLUS,,,Plus
PROMPT_MINUS,,,Minus
PROMPT_VFO_EXCHANGE_TX_RX,,,Exchange Tx and Rx frequencies
PROMPT_VFO_COPY_RX_TO_TX,,,Copy Receive frequency to Transmit frequency
PROMPT_VFO_COPY_TX_TO_RX,,,Copy Transmit frequency to Receive frequency
PROMPT_POWER,,,power
PROMPT_CHANNEL_MODE,,,channel mode
PROMPT_SCAN_MODE,,,scan mode
PROMPT_TIMESLOT_MODE,,,timeslot mode
PROMPT_FILTER_MODE,,,filter mode
PROMPT_ZONE_MODE,,,zone mode
PROMPT_POWER_MODE,,,power mode
PROMPT_COLORCODE_MODE,,,color code mode
PROMPT_HERTZ,,,hertz
PROMPT_TBD2,,,
PROMPT_TBD3,,,
PROMPT_TBD4,,,
PROMPT_TBD5,,,
PROMPT_TBD6,,,
PROMPT_TBD7,,,
PROMPT_TBD8,,,
PROMPT_TBD9,,,
PROMPT_TBD10,,,
PROMPT_TBD11,,,
PROMPT_TBD12,,,
PROMPT_TBD13,,,
PROMPT_TBD14,,,
PROMPT_TBD15,,,
PROMPT_TBD16,,,
PROMPT_TBD17,,,
PROMPT_TBD18,,,
PROMPT_TBD19,,,
PROMPT_TBD20,,,
LANGUAGE_NAME,,,English
menu,,,Menu
credits,,,Credits
zone,,,Zone
rssi,,,RSSI
battery,,,Battery
contacts,,,Contacts
last_heard,,,Last heard
firmware_info,,,Firmware info
options,,,Options
display_options,,,Display options
sound_options,,,Sound options
channel_details,,,Channel details
language,,,Language
new_contact,,,New contact
contact_list,,,Contact list
contact_details,,,Contact Details
hotspot_mode,,,Hotspot mode
dtmf_contact_list,,,DTMF contact list
built,,,Built
zones,,,Zones
keypad,,,Keypad
ptt,,,P T T
locked,,,Locked
press_blue_plus_star,,,Press Blue + star
to_unlock,,,to unlock
unlocked,,,Unlocked
power_off,,,Power Off
error,,,ERROR
rx_only,,,Receive only
out_of_band,,,OUT OF BAND
timeout,,,TIMEOUT
tg_entry,,,Talkgroup entry
pc_entry,,,Private Call entry
user_dmr_id,,,User D M R  ID
contact,,,Contact
accept_call,,,Accept call?
private_call,,,Private Call
squelch,,,Squelch
quick_menu,,,Quick Menu
filter,,,Filter
all_channels,,,All Channels
gotoChannel,,,Go To Channel
scan,,,Scan
channelToVfo,,,Copy Channel to V F O
vfoToChannel,,,Copy V F O to Channel
vfoToNewChannel,,,Copy V F O to New Channel
group,,,Group
private,,,Private
all,,,All
type,,,Type
timeSlot,,,Timeslot
none,,,None
contact_saved,,,Contact saved
duplicate,,,Duplicate
tg,,,TG
pc,,,PC
ts,,,TS
mode,,,Mode
colour_code,,,Color Code
n_a,,,Not applicable
bandwidth,,,Bandwidth
stepFreq,,,Step
tot,,,T O T
off,,,Off
zone_skip,,,Zone Skip
all_skip,,,All Skip
yes,,,Yes
no,,,No
rx_group,,,Rx Group
on,<emphasis level="strong">,</emphasis>,On
timeout_beep,,,Timeout beep
factory_reset,,,Factory Reset
calibration,,,Calibration
band_limits,,,Band Limits
beep_volume,,,Beep volume
dmr_mic_gain,,,D M R mic gain
fm_mic_gain,,,F M mic gain
key_long,,,Key long
key_repeat,,,Key repeat
dmr_filter_timeout,,,Filter time
brightness,,,Brightness
brightness_off,,,Minimum brightness
contrast,,,Contrast
colour_invert,,,Invert
colour_normal,,,Normal
backlight_timeout,,,Timeout
scan_delay,,,Scan delay
yes___in_uppercase,,,YES
no___in_uppercase,,,NO
DISMISS,,,DISMISS
scan_mode,,,Scan mode
hold,,,Hold
pause,,,Pause
empty_list,,,Empty List
delete_contact_qm,,,Delete contact?
contact_deleted,,,Contact deleted
contact_used,,,Contact used
in_rx_group,,,In R X group
select_tx,,,Select Contact
edit_contact,,,Edit Contact
delete_contact,,,Delete Contact
group_call,,,Group Call
all_call,,,All Call
tone_scan,,,Tone scan
low_battery,,,LOW BATTERY
Auto,,,Auto
manual,,,Manual
ptt_toggle,,,P T T latch
private_call_handling,,,Allow Private Call
stop,,,Stop
one_line,,,1 line
two_lines,,,2 lines
new_channel,,,New channel
priority_order,,,Order
dmr_beep,,,D M R beep
start,,,Start
both,,,Both
vox_threshold,,,VOX Threshold
vox_tail,,,VOX Tail
audio_prompt,,,Prompt
silent,,,Silent
normal,,,Normal
beep,,,Beep
voice_prompt_level_1,,,Voice mode
transmitTalkerAlias,,,Talker Alias Transmit
squelch_VHF,,,V H F squelch
squelch_220,,,220 Megahertz squelch
squelch_UHF,,,U H F squelch
display_background_colour,,,Display backround colour
openGD77,,,Open G D 77
openGD77S,,,Open G D 77 S
openDM1801,,,Open D M 18 0 1
openRD5R,,,Open R D 5 R
gitCommit,,,Git revision
voice_prompt_level_2,,,Voice mode 2
voice_prompt_level_3,,,Voice mode 3
dmr_filter,,,D M R Filter
dmr_cc_filter,,,Colour code Filter
dmr_ts_filter,,,Timeslot Filter
