PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
PROMPT_SPACE,,, 
PROMPT_POINT,,,kohta
PROMPT_0,,,0
PROMPT_1,,,1
PROMPT_2,,,2
PROMPT_3,,,3
PROMPT_4,,,4
PROMPT_5,,,5
PROMPT_6,,,6
PROMPT_7,,,7
PROMPT_8,,,8
PROMPT_9,,,9
PROMPT_A,,,A
PROMPT_B,,,B
PROMPT_C,,,C
PROMPT_D,,,D
PROMPT_E,,,E
PROMPT_F,,,F
PROMPT_G,,,G
PROMPT_H,,,H
PROMPT_I,,,I
PROMPT_J,,,J
PROMPT_K,,,K
PROMPT_L,,,L
PROMPT_M,,,M
PROMPT_N,,,N
PROMPT_O,,,O
PROMPT_P,,,P
PROMPT_Q,,,Q
PROMPT_R,,,R
PROMPT_S,,,S
PROMPT_T,,,T
PROMPT_U,,,U
PROMPT_V,,,V
PROMPT_W,,,W
PROMPT_X,,,X
PROMPT_Y,,,Y
PROMPT_Z,,,Z
PROMPT_Z2,,,Z
PROMPT_CHANNEL,,,kanava
PROMPT_CONTACT,,,Ottaa yhteyttä
PROMPT_MILLISECONDS,,,Millisekuntia
PROMPT_MEGAHERTZ,,,megahertsi
PROMPT_KILOHERTZ,,,kilohertsin
PROMPT_TALKGROUP,,,keskusteluryhmäpuhelua
PROMPT_TIMESLOT,,,aikaväliä
PROMPT_VFO,,,V F O
PROMPT_SECONDS,,,sekuntia
PROMPT_MINUTES,,,Pöytäkirja
PROMPT_VOLTS,,,volttia
PROMPT_WATT,,,Wattt
PROMPT_WATTS,,,Watts
PROMPT_MILLIWATTS,,,millivvattia
PROMPT_PERCENT,,,prosentti
PROMPT_RECEIVE,,,Vastaanottaa
PROMPT_TRANSMIT,,,lähetys-
PROMPT_MODE,,,tila
PROMPT_DMR,,,D M R
PROMPT_FM,,,F M
PROMPT_PLUS,,,Plus
PROMPT_MINUS,,,Miinus
PROMPT_VFO_EXCHANGE_TX_RX,,,Vaihda Tx- ja Rx-taajuuksia
PROMPT_VFO_COPY_RX_TO_TX,,,Kopioi vastaanottotaajuus lähetystaajuuteen
PROMPT_VFO_COPY_TX_TO_RX,,,Kopioi Lähetystaajuus vastaanottotaajuudelle
PROMPT_POWER,,,Teho
PROMPT_CHANNEL_MODE,,,kanavatila
PROMPT_SCAN_MODE,,,skannaustila
PROMPT_TIMESLOT_MODE,,,aikavälitila
PROMPT_FILTER_MODE,,,suodatintila
PROMPT_ZONE_MODE,,,vyöhyketila
PROMPT_POWER_MODE,,,virtatila
PROMPT_COLORCODE_MODE,,,värikooditila
PROMPT_HERTZ,,,hertsi
PROMPT_SETTINGS_UPDATE,,,Asetusten päivitys
PROMPT_STAR,,,Tähti
PROMPT_HASH,,,Hash
PROMPT_VOX,,,Vox
PROMPT_SWEEP_SCAN_MODE,,,Lakaista skannaustila
PROMPT_ECO_MODE,,,Säästötila
PROMPT_UNUSED_3,,, 
PROMPT_UNUSED_4,,, 
PROMPT_UNUSED_5,,,
PROMPT_UNUSED_6,,,
PROMPT_UNUSED_7,,, 
PROMPT_UNUSED_8,,, 
PROMPT_UNUSED_9,,, 
PROMPT_UNUSED_10,,, 
LANGUAGE_NAME,,,Suomi
menu,,,Menu
credits,,,Kiitokset
zone,,,Vyöhyke
rssi,,,RSSI Signaali
battery,,,Akun Tila
contacts,,,Kontaktit
last_heard,,,Viimeksi kuultu
firmware_info,,,Laiteohjelmistotiedot
options,,,Yleis  Asetukset
display_options,,,Näytön Asetukset
sound_options,,,Ääni   Asetukset
channel_details,,,Kanava Asetukset
language,,,Kieli
new_contact,,,Uusi kontakti
dmr_contacts,,,D M R -yhteydet
contact_details,,,Kontakti Asetus
hotspot_mode,,,Hotspotti tila
built,,,rakennettu
zones,,,Vyöhykkeet
keypad,,,Näppäin
ptt,,,PTT
locked,,,Lukossa
