PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
PROMPT_SPACE,,, 
PROMPT_POINT,,,PUNKT
PROMPT_0,,,0
PROMPT_1,,,1
PROMPT_2,,,2
PROMPT_3,,,3
PROMPT_4,,,4
PROMPT_5,,,5
PROMPT_6,,,6
PROMPT_7,,,7
PROMPT_8,,,8
PROMPT_9,,,9
PROMPT_A,,,A
PROMPT_B,,,B
PROMPT_C,,,C
PROMPT_D,,,D
PROMPT_E,,,E
PROMPT_F,,,F
PROMPT_G,,,G
PROMPT_H,,,H
PROMPT_I,,,I
PROMPT_J,,,J
PROMPT_K,,,K
PROMPT_L,,,L
PROMPT_M,,,M
PROMPT_N,,,N
PROMPT_O,,,O
PROMPT_P,,,P
PROMPT_Q,,,Q
PROMPT_R,,,R
PROMPT_S,,,S
PROMPT_T,,,T
PROMPT_U,,,U
PROMPT_V,,,V
PROMPT_W,,,W
PROMPT_X,,,X
PROMPT_Y,,,Y
PROMPT_Z,,,Z
PROMPT_Z2,,,Z
PROMPT_CHANNEL,,,KANAL
PROMPT_CONTACT,,,KONTAKT
PROMPT_DBM,,,D B M
PROMPT_ENTRY,,,EINTRAG
PROMPT_MEGAHERTZ,,,MEGAHERTZ
PROMPT_KILOHERTZ,,,KILOHERTZ
PROMPT_TALKGROUP,,,TALKGROUP
PROMPT_TIMESLOT,,,ZEITFENSTER
PROMPT_VFO,,,V F O
PROMPT_SECONDS,,,Sekunden
PROMPT_Minutes,,,Minuten
PROMPT_Hours,,,Stunden
PROMPT_VOLTS,,,Volt
PROMPT_WATT,,,Watt
PROMPT_WATTS,,,Watt
PROMPT_MILLIWATTS,,,Milliwatt
PROMPT_PERCENT,,,Prozent
PROMPT_RECEIVE,,,Empfangen
PROMPT_Transmit,,,Senden
PROMPT_HASH,,,Raute
PROMPT_STAR,,,Stern
PROMPT_GREEN,,,Grün
PROMPT_RED,,,Rot
PROMPT_VERSION,,,Version
PROMPT_MODE,,,Modus
PROMPT_DMR,,,D M R
PROMPT_FM,,,F M
PROMPT_WIDE,,,Breit
PROMPT_NARROW,,,Schmal
PROMPT_PLUS,,,Plus
PROMPT_MINUS,,,Minus
PROMPT_VFO_EXCHANGE_TX_RX,,,Tausche T x und R x frequenz
PROMPT_VFO_COPY_RX_TO_TX,,,Kopiere R X frequenz zu T X frequenz
PROMPT_VFO_COPY_TX_TO_RX,,,Kopiere T X frequenz zu R X frequenz
PROMPT_POWER,,,power
PROMPT_CHANNEL_MODE,,,Kanal Modus
PROMPT_SCAN_MODE,,,scan Modus
PROMPT_TIMESLOT_MODE,,,timeslot Modus
PROMPT_FILTER_MODE,,,filter Modus
PROMPT_ZONE_MODE,,,Zonen Modus
PROMPT_POWER_MODE,,,power Modus
PROMPT_COLORCODE_MODE,,,color code Modus
PROMPT_HERTZ,,,HERTZ
PROMPT_SETTINGS_UPDATE,,,Settings update
LANGUAGE_NAME,,,Deutsch
menu,,,Menü
credits,,,Mitwirkende
zone,,,Zone
rssi,,,Feldstärke
battery,,,Akku
contacts,,,Kontakte
last_heard,,,Zuletzt gehört
firmware_info,,,Firmware Info
options,,,Einstellungen
display_options,,,Display Optionen
sound_options,,,Audio Optionen
channel_details,,,Kanal Details
language,,,Sprache
new_contact,,,Neuer Kontakt
dmr_contacts,,,Kontaktliste
contact_details,,,Kontakt Details
