PromptName,PromptSpeed,PromptText,Volume_db,Overwrite,Notes
PROMPT_SPACE,normal, ,0,y,
PROMPT_POINT,fast,POINT,0,y,
PROMPT_0,fast,0,0,y,
PROMPT_1,fast,1,0,y,
PROMPT_2,fast,2,0,y,
PROMPT_3,fast,3,0,y,
PROMPT_4,fast,4,0,y,
PROMPT_5,fast,5,0,y,
PROMPT_6,fast,6,0,y,
PROMPT_7,fast,7,0,y,
PROMPT_8,fast,8,0,y,
PROMPT_9,fast,9,0,y,
PROMPT_A,fast,A,0,y,
PROMPT_B,fast,B,0,y,
PROMPT_C,fast,C,0,y,
PROMPT_D,fast,D,0,y,
PROMPT_E,fast,E,0,y,
PROMPT_F,fast,F,0,y,
PROMPT_G,fast,G,0,y,
PROMPT_H,fast,H,0,y,
PROMPT_I,fast,I,0,y,
PROMPT_J,fast,J,0,y,
PROMPT_K,fast,K,0,y,
PROMPT_L,fast,L,0,y,
PROMPT_M,fast,M,0,y,
PROMPT_N,fast,N,0,y,
PROMPT_O,fast,O,0,y,
PROMPT_P,fast,P,0,y,
PROMPT_Q,fast,Q,0,y,
PROMPT_R,fast,R,0,y,
PROMPT_S,fast,S,0,y,
PROMPT_T,fast,T,0,y,
PROMPT_U,fast,U,0,y,
PROMPT_V,fast,V,0,y,
PROMPT_W,fast,W,0,y,
PROMPT_X,fast,X,0,y,
PROMPT_Y,fast,Y,0,y,
PROMPT_Z,fast,Z,0,y,
PROMPT_Z2,fast,Z,0,y,
PROMPT_CHANNEL,normal,KANAL,0,y,
PROMPT_CONTACT,normal,KONTAKT,0,y,
PROMPT_DBM,normal,DBM,0,y,
PROMPT_ENTRY,normal,EINTRAG,0,y,
PROMPT_MEGAHERTZ,normal,MEGAHERTZ,0,y,
PROMPT_KILOHERTZ,normal,KILOHERTZ,0,y,
PROMPT_TALKGROUP,normal,TALKGROUP,0,y,
PROMPT_TIMESLOT,normal,ZEITFENSTER,0,y,
PROMPT_VFO,normal,VFO,0,y,
PROMPT_SECONDS,normal,Sekunden,0,y,
PROMPT_Minutes,normal,Protokoll,0,y,
PROMPT_Hours,normal,Std,0,y,
PROMPT_VOLTS,normal,Volt,0,y,
PROMPT_WATT,normal,Watt,0,y,
PROMPT_WATTS,normal,Watt,0,y,
PROMPT_MILLIWATTS,normal,Milliwatt,0,y,
PROMPT_PERCENT,normal,Prozent,0,y,
PROMPT_RECEIVE,normal,Erhalten,0,y,
PROMPT_Transmit,normal,Übertragen,0,y,
PROMPT_HASH,normal,Hash,0,y,
PROMPT_STAR,normal,Start,0,y,
PROMPT_GREEN,normal,Grün,0,y,
PROMPT_RED,normal,rot,0,y,
PROMPT_VERSION,normal,Ausführung,0,y,
PROMPT_MODE,normal,Modus,0,y,
PROMPT_DMR,normal,D M R.,0,y,
PROMPT_FM,normal,F M.,0,y,
PROMPT_WIDE,normal,Breit,0,y,
PROMPT_NARROW,normal,Eng,0,y,
PROMPT_PLUS,normal,Plus,0,y,
PROMPT_MINUS,normal,Minus,0,y,
PROMPT_TBD1,normal,,0,y,
PROMPT_TBD2,normal,,0,y,
PROMPT_TBD3,normal,,0,y,
PROMPT_TBD4,normal,,0,y,
PROMPT_TBD5,normal,,0,y,
PROMPT_TBD6,normal,,0,y,
PROMPT_TBD7,normal, ,0,y,
PROMPT_TBD8,normal, ,0,y,
LANGUAGE_NAME,normal,Deutsch,0,y,
menu,normal,Menü,0,y,
credits,normal,Mitwirkende,0,y,
zone,normal,Zone,0,y,
rssi,normal,Feldstärke,0,y,
battery,normal,Akku,0,y,
contacts,normal,Kontakte,0,y,
last_heard,normal,Zuletzt gehört,0,y,
firmware_info,normal,Firmware Info,0,y,
options,normal,Einstellungen,0,y,
display_options,normal,Display Optionen,0,y,
sound_options,normal,Audio Optionen,0,y,
channel_details,normal,Kanal Details,0,y,
language,normal,Sprache,0,y,
new_contact,normal,Neuer Kontakt,0,y,
contact_list,normal,Kontaktliste,0,y,
contact_details,normal,Hotspot,0,y,
hotspot_mode,normal,Kontakt Details,0,y,
built,normal,Erstellt,0,y,
zones,normal,Zonen,0,y,
keypad,normal,Tasten,0,y,
ptt,normal,PTT,0,y,
locked,normal,Gesperrt,0,y,
press_blue_plus_star,normal,Blaue Taste + *,0,y,
to_unlock,normal,zum entsperren,0,y,
unlocked,normal,Entsperrt,0,y,
power_off,normal,Schalte aus...,0,y,
error,normal,FEHLER,0,y,
rx_only,normal,Nur Rx,0,y,
out_of_band,normal,AUSSER BAND,0,y,
timeout,normal,Zeit abgelaufen,0,y,
tg_entry,normal,TG Eingabe,0,y,
pc_entry,normal,PC Eingabe,0,y,
user_dmr_id,normal,Benutzer ID,0,y,
contact,normal,Kontakt,0,y,
accept_call,normal,Ruf annehmen?,0,y,
private_call,normal,Privater Ruf,0,y,
squelch,normal,Squelch,0,y,
quick_menu,normal,Schnellfunktion,0,y,
filter,normal,Filter,0,y,
all_channels,normal,Alle Kanäle,0,y,
gotoChannel,normal,Gehe zu,0,y,
scan,normal,Suchlauf,0,y,
channelToVfo,normal,Kanal --> VFO,0,y,
vfoToChannel,normal,VFO --> Kanal,0,y,
vfoToNewChannel,normal,VFO --> New Chan,0,y,
group,normal,Gruppe,0,y,
private,normal,Privat,0,y,
all,normal,Alle,0,y,
type,normal,Type,0,y,
timeSlot,normal,Zeitschlitz,0,y,
none,normal,Kein,0,y,
contact_saved,normal,Kontakt gesp.,0,y,
duplicate,normal,Duplikat,0,y,
tg,normal,TG,0,y,
pc,normal,PC,0,y,
ts,normal,TS,0,y,
mode,normal,Modus,0,y,
colour_code,normal,Color Code,0,y,
n_a,normal,N/A,0,y,
bandwidth,normal,Bandbreite,0,y,
stepFreq,normal,Schritt,0,y,
tot,normal,TOT,0,y,
off,normal,Aus,0,y,
zone_skip,normal,Skip Zone,0,y,
all_skip,normal,Skip Alle,0,y,
yes,normal,Ja,0,y,
no,normal,Nein,0,y,
rx_group,normal,Rx Gruppe,0,y,
on,normal,Ein,0,y,Beginning of this word does not seem to compress well to AMBE
timeout_beep,normal,Timeout-Ton,0,y,
factory_reset,normal,Werks-Reset,0,y,
calibration,normal,Kalibration,0,y,
band_limits,normal,Band Limit,0,y,
beep_volume,normal,Beep Lauts,0,y,
dmr_mic_gain,normal,DMR Mikro,0,y,
fm_mic_gain,normal,FM Mikro,0,y,
key_long,normal,Key lang,0,y,
key_repeat,normal,Key wied,0,y,
dmr_filter_timeout,normal,DMR Filter,0,y,
brightness,normal,Helligkeit,0,y,
brightness_off,normal,Min Helligk.,0,y,
contrast,normal,Kontrast,0,y,
colour_invert,normal,Invers,0,y,
colour_normal,normal,Normal,0,y,
backlight_timeout,normal,Timeout,0,y,
scan_delay,normal,Scan Verzög,0,y,
yes___in_uppercase,normal,JA,0,y,
no___in_uppercase,normal,NEIN,0,y,
DISMISS,normal,ABLEHNEN,0,y,
scan_mode,normal,Scan Modus,0,y,
hold,normal,Halt,0,y,
pause,normal,Pause,0,y,
empty_list,normal,Leere Liste,0,y,
delete_contact_qm,normal,Kontakt löschen?,0,y,
contact_deleted,normal,Kontakt gelöscht,0,y,
contact_used,normal,Kontakt benutzt,0,y,
in_rx_group,normal,in RX Gruppe,0,y,
select_tx,normal,Wähle TX,0,y,
edit_contact,normal,Kontakt ändern,0,y,
delete_contact,normal,Kontakt löschen,0,y,
group_call,normal,Gruppenruf,0,y,
all_call,normal,Ruf an alle,0,y,
tone_scan,normal,CTCSS Scan,0,y,
low_battery,normal,AKKU LEER!,0,y,
Auto,normal,Auto,0,y,
manual,normal,Manuell,0,y,
ptt_toggle,normal,PTT bistabil,0,y,
private_call_handling,normal,Anruf Hinw.,0,y,
stop,normal,Stop,0,y,
one_line,normal,1 Zeile,0,y,
two_lines,normal,2 Zeilen,0,y,
new_channel,normal,Neuer Kanal,0,y,
priority_order,normal,ID-Prio,0,y,
dmr_beep,normal,DMR TX Ton,0,y,
start,normal,Start,0,y,
both,normal,Beide,0,y,
vox_threshold,normal,VOX Empf.,0,y,
vox_tail,normal,VOX Dauer,0,y,
audio_prompt,normal,Prompt,0,y,
silent,normal,Silent,0,y,
normal,normal,Normal,0,y,
beep,normal,Beep,0,y,
voice,normal,Voice,0,y,
transmitTalkerAlias,normal,TA Tx,0,y,
squelch_VHF,normal,VHF Squelch,0,y,
squelch_220,normal,220 Squelch,0,y,
squelch_UHF,normal,UHF Squelch,0,y,
display_background_colour,normal,Anzeige,0,y,
