PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
PROMPT_SPACE,,, 
PROMPT_POINT,"<prosody rate=""fast"">",</prosody>,POINT
PROMPT_0,"<prosody rate=""fast"">",</prosody>,0
PROMPT_1,"<prosody rate=""fast"">",</prosody>,1
PROMPT_2,"<prosody rate=""fast"">",</prosody>,2
PROMPT_3,"<prosody rate=""fast"">",</prosody>,3
PROMPT_4,"<prosody rate=""fast"">",</prosody>,4
PROMPT_5,"<prosody rate=""fast"">",</prosody>,5
PROMPT_6,"<prosody rate=""fast"">",</prosody>,6
PROMPT_7,"<prosody rate=""fast"">",</prosody>,7
PROMPT_8,"<prosody rate=""fast"">",</prosody>,8
PROMPT_9,"<prosody rate=""fast"">",</prosody>,9
PROMPT_A,"<prosody rate=""fast"">",</prosody>,A
PROMPT_B,"<prosody rate=""fast"">",</prosody>,B
PROMPT_C,"<prosody rate=""fast"">",</prosody>,C
PROMPT_D,"<prosody rate=""fast"">",</prosody>,D
PROMPT_E,"<prosody rate=""fast"">",</prosody>,E
PROMPT_F,"<prosody rate=""fast"">",</prosody>,F
PROMPT_G,"<prosody rate=""fast"">",</prosody>,G
PROMPT_H,"<prosody rate=""fast"">",</prosody>,H
PROMPT_I,"<prosody rate=""fast"">",</prosody>,I
PROMPT_J,"<prosody rate=""fast"">",</prosody>,J
PROMPT_K,"<prosody rate=""fast"">",</prosody>,K
PROMPT_L,"<prosody rate=""fast"">",</prosody>,L
PROMPT_M,"<prosody rate=""fast"">",</prosody>,M
PROMPT_N,"<prosody rate=""fast"">",</prosody>,N
PROMPT_O,"<prosody rate=""fast"">",</prosody>,O
PROMPT_P,"<prosody rate=""fast"">",</prosody>,P
PROMPT_Q,"<prosody rate=""fast"">",</prosody>,Q
PROMPT_R,"<prosody rate=""fast"">",</prosody>,R
PROMPT_S,"<prosody rate=""fast"">",</prosody>,S
PROMPT_T,"<prosody rate=""fast"">",</prosody>,T
PROMPT_U,"<prosody rate=""fast"">",</prosody>,U
PROMPT_V,"<prosody rate=""fast"">",</prosody>,V
PROMPT_W,"<prosody rate=""fast"">",</prosody>,W
PROMPT_X,"<prosody rate=""fast"">",</prosody>,X
PROMPT_Y,"<prosody rate=""fast"">",</prosody>,Y
PROMPT_Z,"<prosody rate=""fast"">",</prosody>,Z
PROMPT_Z2,"<prosody rate=""fast"">",</prosody>,Zee
PROMPT_CHANNEL,,,Canale
PROMPT_CONTACT,,,Contatto
PROMPT_DBM,,,DBM
PROMPT_ENTRY,,,Inserisci
PROMPT_MEGAHERTZ,,,MEGAHERTZ
PROMPT_KILOHERTZ,,,KILOHERTZ
PROMPT_TALKGROUP,,,TALKGROUP
PROMPT_TIMESLOT,,,TIMESLOT
PROMPT_VFO,,,VFO
PROMPT_SECONDS,,,Secondi
PROMPT_Minutes,,,Minuti
PROMPT_Hours,,,Ore
PROMPT_VOLTS,,,Volt
PROMPT_WATT,,,Vat
PROMPT_WATTS,,,Vat
PROMPT_MILLIWATTS,,,Millivat
PROMPT_PERCENT,,,Per cento
PROMPT_RECEIVE,,,Ricevere
PROMPT_Transmit,,,Trasmettere
PROMPT_HASH,,,Hash
PROMPT_STAR,,,Inizio
PROMPT_GREEN,,,Verde
PROMPT_RED,,,Rosso
PROMPT_VERSION,,,Versione
PROMPT_MODE,,,Modo
PROMPT_DMR,,,DMR
PROMPT_FM,,,FM
PROMPT_WIDE,,,Largo
PROMPT_NARROW,,,Stretto
PROMPT_PLUS,,,più
PROMPT_MINUS,,,Meno
PROMPT_TBD1,,,
PROMPT_TBD2,,,
PROMPT_TBD3,,,
PROMPT_TBD4,,,
PROMPT_TBD5,,,
PROMPT_TBD6,,,
PROMPT_TBD7,,, 
PROMPT_TBD8,,,  
LANGUAGE_NAME,,,Italiano
menu,,,Menu
credits,,,Crediti
zone,,,Zone
rssi,,,Segnale
battery,,,Batteria
contacts,,,Contatti
last_heard,,,Ultimi Ricevuti
firmware_info,,,Informazioni
options,,,Opzioni
display_options,,,Opzioni Display
sound_options,,,Opzioni Audio
channel_details,,,Dettagli canale
language,,,Lingua
new_contact,,,Nuovo Contatto
contact_list,,,Lista Contatti
contact_details,,,Dettagli Contatto
hotspot_mode,,,Modo Hotspot
built,,,Versione
zones,,,Zone
keypad,,,Tastiera
ptt,,,PTT
locked,,,Bloccato
press_blue_plus_star,,,Premi Blue + asterisco
to_unlock,,,Per sbloccare
unlocked,,,Sbloccato
power_off,,,Spegnimento
error,,,ERRORE
rx_only,,,Solo ricezione
out_of_band,,,FUORI BANDA
timeout,,,TEMPO SCADUTO
tg_entry,,,Inserisci TG
pc_entry,,,Inserisci contatto privato
user_dmr_id,,,ID Utente D M R
contact,,,Contatto
accept_call,,,Accettare?
private_call,,,Chiamata Privata
squelch,,,Squelch
quick_menu,,,Menu rapido
filter,,,Filtro
all_channels,,,Tutti i canali
gotoChannel,,,Vai a
scan,,,Scansione
channelToVfo,,,Canale a V F O
vfoToChannel,,,V F O a Canale
vfoToNewChannel,,,V F O a nuovo canale
group,,,Gruppo
private,,,Privato
all,,,Tutti
type,,,Tipo
timeSlot,,,Timeslot
none,,,Nessuno
contact_saved,,,Salvato
duplicate,,,Duplicato
tg,,,TG
pc,,,CP
ts,,,TS
mode,,,Modo
colour_code,,,Codice Colore
n_a,,,Non applicato
bandwidth,,,Banda
stepFreq,,,Step
tot,,,TOT
off,,,disattivato
zone_skip,,,Salta Zona
all_skip,,,Salta Tutti
yes,,,SÌ
no,,,No
rx_group,,,Ricezione gruppo
on,,,On
timeout_beep,,,Bip Timeout
factory_reset,,,Reset Fabbrica
calibration,,,Calibrazione
band_limits,,,Limiti Banda
beep_volume,,,Volume Bip
dmr_mic_gain,,,DMR mic gain
fm_mic_gain,,,FM mic gain
key_long,,,tempo pressione tasto
key_repeat,,,tempo ripetizione tasto
dmr_filter_timeout,,,Tempo Filtro
brightness,,,Luminosità
brightness_off,,,Minima luminosità
contrast,,,Contrasto
colour_invert,,,Colore:Inverti
colour_normal,,,Colore:Normale
backlight_timeout,,,Timeout
scan_delay,,,Ritardo Scansione
yes___in_uppercase,,,SÌ
no___in_uppercase,,,NO
DISMISS,,,RIFIUTA
scan_mode,,,Modo Scansione
hold,,,Hold
pause,,,Pausa
empty_list,,,Lista Vuota
delete_contact_qm,,,Cancellare Contatto?
contact_deleted,,,Cancellato
contact_used,,,Contatto usato
in_rx_group,,,in gruppo RX
select_tx,,,Seleziona TX
edit_contact,,,Modificare Contatto
delete_contact,,,Elimina Contatto
group_call,,,Chiama Gruppo
all_call,,,Chiama Tutti
tone_scan,,,Scansione Toni
low_battery,,,BATTERIA SCARICA
Auto,,,Automatico
manual,,,Manuale
ptt_toggle,,,Auto-PTT
private_call_handling,,,Gestione chiamata privata
stop,,,Fine
one_line,,,1 linea
two_lines,,,2 linee
new_channel,,,Nuovo canale
priority_order,,,Priorità
dmr_beep,,,DMR bip
start,,,Inizio
both,,,Ambedue
vox_threshold,,,Soglia VOX
vox_tail,,,Coda VOX
audio_prompt,,,Richiesta
silent,,,Silenzioso
normal,,,Normale
beep,,,Beep
voice,,,Voce
transmitTalkerAlias,,,Trasmetti talker alias
squelch_VHF,,,V H F squelch
squelch_220,,,220 Megahertz squelch
squelch_UHF,,,U H F squelch
display_background_colour,,,
