PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
PROMPT_SPACE,,,
PROMPT_POINT,,,点
PROMPT_0,,,0
PROMPT_1,,,1
PROMPT_2,,,2
PROMPT_3,,,3
PROMPT_4,,,4
PROMPT_5,,,5
PROMPT_6,,,6
PROMPT_7,,,7
PROMPT_8,,,8
PROMPT_9,,,9
PROMPT_A,,,A
PROMPT_B,,,B
PROMPT_C,,,C
PROMPT_D,,,D
PROMPT_E,,,E
PROMPT_F,,,F
PROMPT_G,,,G
PROMPT_H,,,H
PROMPT_I,,,I
PROMPT_J,,,J
PROMPT_K,,,K
PROMPT_L,,,L
PROMPT_M,,,M
PROMPT_N,,,N
PROMPT_O,,,O
PROMPT_P,,,P
PROMPT_Q,,,Q
PROMPT_R,,,R
PROMPT_S,,,S
PROMPT_T,,,T
PROMPT_U,,,U
PROMPT_V,,,V
PROMPT_W,,,W
PROMPT_X,,,X
PROMPT_Y,,,Y
PROMPT_Z,,,Zed
PROMPT_Z2,,,Z
PROMPT_CHANNEL,,,チャンネル
PROMPT_CONTACT,,,コンタクト
PROMPT_MILLISECONDS,,,ミリ秒
PROMPT_FROM,,,From
PROMPT_MEGAHERTZ,,,MHz
PROMPT_KILOHERTZ,,,kHz
PROMPT_TALKGROUP,,,トークグループ
PROMPT_TIMESLOT,,,タイムスロット
PROMPT_VFO,,,ブイエフオー
PROMPT_SECONDS,,,びょう
PROMPT_MINUTES,,,ふん
PROMPT_TO,,,To
PROMPT_VOLTS,,,ボルト
PROMPT_WATT,,,ワット
PROMPT_WATTS,,,ワット
PROMPT_MILLIWATTS,,,ミリワット
PROMPT_PERCENT,,,パーセント
PROMPT_RECEIVE,,,受信
PROMPT_TRANSMIT,,,送信
PROMPT_HASH,,,ハッシュ
PROMPT_STAR,,,こめじるし
PROMPT_GREEN,,,緑色
PROMPT_RED,,,赤色
PROMPT_VERSION,,,バージョン
PROMPT_MODE,,,モード
PROMPT_DMR,,,D M R
PROMPT_FM,,,F M
PROMPT_WIDE,,,ワイド
PROMPT_NARROW,,,ナロー
PROMPT_PLUS,,,プラス
PROMPT_MINUS,,,マイナス
PROMPT_VFO_EXCHANGE_TX_RX,,,送受信周波数入れ替え
PROMPT_VFO_COPY_RX_TO_TX,,,受信周波数を送信周波数へコピー
PROMPT_VFO_COPY_TX_TO_RX,,,送信周波数を受信周波数へコピー
PROMPT_POWER,,,送信出力
PROMPT_CHANNEL_MODE,,,チャンネルモード
PROMPT_SCAN_MODE,,,スキャンモード
PROMPT_TIMESLOT_MODE,,,タイムスロットモード
PROMPT_FILTER_MODE,,,フィルターモード
PROMPT_ZONE_MODE,,,ゾーンモード
PROMPT_POWER_MODE,,,電源モード
PROMPT_COLORCODE_MODE,,,カラーコードモード
PROMPT_HERTZ,,,ヘルツ
PROMPT_SETTINGS_UPDATE,,,アップデート設定
LANGUAGE_NAME,,,日本語
menu,,,メニュー
credits,,,開発者
zone,,,ゾーン
rssi,,,信号強度RSSI
battery,,,電池
contacts,,,コンタクト
last_heard,,,受信ログ
firmware_info,,,ファームウエア情報
options,,,オプション設定
display_options,,,表示オプション
sound_options,,,音声オプション
channel_details,,,チャンネル内容
language,,,言語
new_contact,,,新しいコンタクト
dmr_contacts,,,デジタルコンタクト
contact_details,,,コンタクト情報
hotspot_mode,,,ホットスポットモード
built,,,built
zones,,,ゾーン
keypad,,,キーパッド
ptt,,,P T T
locked,,,ロックされました
press_blue_plus_star,,,Fか青いボタンとこめじるしを押して下さい
to_unlock,,,ロック解除
unlocked,,,ロック解除されました
power_off,,,電源オフ
error,,,エラー
rx_only,,,送信禁止
out_of_band,,,オフバンド
timeout,,,タイムアウト
tg_entry,,,トークグループ入力
pc_entry,,,プライベートコール入力
user_dmr_id,,,あなたのD M R I D
contact,,,コンタクト
accept_call,,,受信を受け付けます
private_call,,,プライベートコール
squelch,,,スケルチ
quick_menu,,,クイックメニュー
filter,,,フィルター
all_channels,,,全てのチャンネル
gotoChannel,,,チャンネルに移動
scan,,,スキャン
channelToVfo,,,チャンネルからVFO
vfoToChannel,,,VFOからチャンネル
vfoToNewChannel,,,VFOから新しいチャンネル
group,,,グループ
private,,,プライベート
all,,,全部
type,,,タイプ
timeSlot,,,タイムスロット
none,,,ありません
contact_saved,,,コンタクト保存
duplicate,,,重複
tg,,,トークグループ
pc,,,プライベートコール
ts,,,タイムスロット
mode,,,モード
colour_code,,,カラーコード
n_a,,,ありません
bandwidth,,,バンド幅
stepFreq,,,周波数ステップ
tot,,,送信タイムアウト
off,,,オフ
zone_skip,,,ゾーンスキップ
all_skip,,,全てスキップ
yes,,,はい
no,,,いいえ
rx_group,,,受信グループ
on,,,オン
timeout_beep,,,タイムアウトビープ
UNUSED_1,,,
calibration,,,キャリブレーション
band_limits,,,バンド制限
beep_volume,,,ビープ音量
dmr_mic_gain,,,D M R マイクゲイン
fm_mic_gain,,,F M マイクゲイン
key_long,,,キーロング時間
key_repeat,,,キーリピート時間
dmr_filter_timeout,,,フィルタータイムアウト
brightness,,,あかるさ
brightness_off,,,ディマー
contrast,,,コントラスト
colour_invert,,,反転
colour_normal,,,通常
backlight_timeout,,,バックライトタイムアウト
scan_delay,,,スキャンディレイ
yes___in_uppercase,,,はい
no___in_uppercase,,,いいえ
DISMISS,,,だめです
scan_mode,,,スキャンモード
hold,,,ホールド
pause,,,ポーズ
empty_list,,,リストは空です
delete_contact_qm,,,コンタクトを削除しますか
contact_deleted,,,コンタクトから削除されました
contact_used,,,そのコンタクトは既に使用されています
in_rx_group,,,受信グループ内
select_tx,,,送信選択
edit_contact,,,コンタクトの編集
delete_contact,,,コンタクトの削除
group_call,,,グループコール
all_call,,,オールコール
tone_scan,,,トーンスキャン
low_battery,,,電池切れ
Auto,,,オート
manual,,,マニュアル
ptt_toggle,,,P T T トグル
private_call_handling,,,プライベートコール受付
stop,,,ストップ
one_line,,,いちぎょう
two_lines,,,にぎょう
new_channel,,,新しいチャンネル
priority_order,,,DB名前表示優先順
dmr_beep,,,D M R ビープ
start,,,開始
both,,,両方
vox_threshold,,,VOX スレッショルド
vox_tail,,,VOX テール
audio_prompt,,,音声案内
silent,,,サイレント
normal,,,正常
beep,,,ビープ
voice_prompt_level_1,,,レベル1
transmitTalkerAlias,,,トーカーエイリアス送信
squelch_VHF,,,ブイエイチエフ スケルチ
squelch_220,,,にひゃく にじゅう メガヘルツ スケルチ
squelch_UHF,,,ユーエイチエフ スケルチ
display_background_colour,,,バックカラー
openGD77,,,open G D 7 7
openGD77S,,,open G D 7 7 S
openDM1801,,,open D M 1 8 0 1
openRD5R,,,open R D 5 R
gitCommit,,,Gitコミット
voice_prompt_level_2,,,レベル2
voice_prompt_level_3,,,レベル3
dmr_filter,,,D M R フィルター
dmr_cc_filter,,,カラーコードフィルター
dmr_ts_filter,,,タイムスロットフィルター
dtmf_contact_list,,,D T M F コンタクトリスト
channel_power,,,チャンネル出力
from_master,,,マスターから
set_quickkey,,,クイックキー設定
dual_watch,,,デュアルワッチ
info,,,情報
pwr,,,出力
user_power,,,出力レベル
temperature,,,温度
celcius,,,せっし
seconds,,,秒
radio_info,,,無線機情報
temperature_calibration,,,温度キャリブレーション
pin_code,,,暗証番号
please_confirm,,,確認してください
vfo_freq_bind_mode,,,送受周波数連動モード
overwrite_qm,,,上書きしますか
eco_level,,,経済レベル 
buttons,,,ボタン 
leds,,,LED
scan_dwell_time,,,スキャン滞留時間
battery_calibration,,,バッテリーキャリブレーション
