PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
PROMPT_SPACE,,, 
PROMPT_POINT,,,Punkt
PROMPT_0,,,0
PROMPT_1,,,1
PROMPT_2,,,2
PROMPT_3,,,3
PROMPT_4,,,4
PROMPT_5,,,5
PROMPT_6,,,6
PROMPT_7,,,7
PROMPT_8,,,8
PROMPT_9,,,9
PROMPT_A,,,A
PROMPT_B,,,B
PROMPT_C,,,C
PROMPT_D,,,D
PROMPT_E,,,E
PROMPT_F,,,F
PROMPT_G,,,G
PROMPT_H,,,H
PROMPT_I,,,I
PROMPT_J,,,J
PROMPT_K,,,K
PROMPT_L,,,L
PROMPT_M,,,M
PROMPT_N,,,N
PROMPT_O,,,O
PROMPT_P,,,P
PROMPT_Q,,,Q
PROMPT_R,,,R
PROMPT_S,,,S
PROMPT_T,,,T
PROMPT_U,,,U
PROMPT_V,,,V
PROMPT_W,,,W
PROMPT_X,,,X
PROMPT_Y,,,Y
PROMPT_Z,,,Z
PROMPT_Z2,,,Z
PROMPT_CHANNEL,,,Kanał
PROMPT_CONTACT,,,KONTAKT
PROMPT_DBM,,,DBM
PROMPT_ENTRY,,,WEJŚCIE
PROMPT_MEGAHERTZ,,,MEGAHERTZ
PROMPT_KILOHERTZ,,,KILOHERTZ
PROMPT_TALKGROUP,,,ROZMOWA
PROMPT_TIMESLOT,,,PRZEDZIA? CZASU
PROMPT_VFO,,,VFO
PROMPT_SECONDS,,,sekundy
PROMPT_Minutes,,,Minuty
PROMPT_Hours,,,godziny
PROMPT_VOLTS,,,Wolty
PROMPT_WATT,,,Wat
PROMPT_WATTS,,,Watts
PROMPT_MILLIWATTS,,,Miliwatów
PROMPT_PERCENT,,,Procent
PROMPT_RECEIVE,,,Otrzyma?
PROMPT_Transmit,,,Przekaza?
PROMPT_HASH,,,Haszysz
PROMPT_STAR,,,Pocz?tek
PROMPT_GREEN,,,Zielony
PROMPT_RED,,,Czerwony
PROMPT_VERSION,,,Wersja
PROMPT_MODE,,,Tryb
PROMPT_DMR,,,D M R
PROMPT_FM,,,F M
PROMPT_WIDE,,,Szeroki
PROMPT_NARROW,,,W?ski
PROMPT_PLUS,,,Plus
PROMPT_MINUS,,,Minus
PROMPT_VFO_EXCHANGE_TX_RX,,,Exchange Tx and Rx frequencies
PROMPT_VFO_COPY_RX_TO_TX,,,Copy Receive frequency to Transmit frequency
PROMPT_VFO_COPY_TX_TO_RX,,,Copy Transmit frequency to Receive frequency
PROMPT_POWER,,,power
PROMPT_CHANNEL_MODE,,,channel mode
PROMPT_SCAN_MODE,,,scan mode
PROMPT_TIMESLOT_MODE,,,timeslot mode
PROMPT_FILTER_MODE,,,filter mode
PROMPT_ZONE_MODE,,,zone mode
PROMPT_POWER_MODE,,,power mode
PROMPT_COLORCODE_MODE,,,color code mode
PROMPT_HERTZ,,,HERTZ
PROMPT_SETTINGS_UPDATE,,,Settings update
LANGUAGE_NAME,,,Polski
menu,,,J†zyk
credits,,,Spis
zone,,,Wspóˆtwórcy
rssi,,,Strefy
battery,,,Sygnaˆ
contacts,,,Bateria
last_heard,,,Kontakty
firmware_info,,,Wersja programu
options,,,Ostatnio aktywne
display_options,,,Opcje
sound_options,,,Opcje ekranu
channel_details,,,Szczegóły kanału
language,,,Detale kanaˆu
new_contact,,,Nowy kontakt
dmr_contacts,,,Lista kontaktów
