PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
PROMPT_SPACE,,, 
PROMPT_POINT,"<prosody rate=""fast"">",</prosody>,POINT
PROMPT_0,"<prosody rate=""fast"">",</prosody>,0
PROMPT_1,"<prosody rate=""fast"">",</prosody>,1
PROMPT_2,"<prosody rate=""fast"">",</prosody>,2
PROMPT_3,"<prosody rate=""fast"">",</prosody>,3
PROMPT_4,"<prosody rate=""fast"">",</prosody>,4
PROMPT_5,"<prosody rate=""fast"">",</prosody>,5
PROMPT_6,"<prosody rate=""fast"">",</prosody>,6
PROMPT_7,"<prosody rate=""fast"">",</prosody>,7
PROMPT_8,"<prosody rate=""fast"">",</prosody>,8
PROMPT_9,"<prosody rate=""fast"">",</prosody>,9
PROMPT_A,"<prosody rate=""fast"">",</prosody>,A
PROMPT_B,"<prosody rate=""fast"">",</prosody>,B
PROMPT_C,"<prosody rate=""fast"">",</prosody>,C
PROMPT_D,"<prosody rate=""fast"">",</prosody>,D
PROMPT_E,"<prosody rate=""fast"">",</prosody>,E
PROMPT_F,"<prosody rate=""fast"">",</prosody>,F
PROMPT_G,"<prosody rate=""fast"">",</prosody>,G
PROMPT_H,"<prosody rate=""fast"">",</prosody>,H
PROMPT_I,"<prosody rate=""fast"">",</prosody>,I
PROMPT_J,"<prosody rate=""fast"">",</prosody>,J
PROMPT_K,"<prosody rate=""fast"">",</prosody>,K
PROMPT_L,"<prosody rate=""fast"">",</prosody>,L
PROMPT_M,"<prosody rate=""fast"">",</prosody>,M
PROMPT_N,"<prosody rate=""fast"">",</prosody>,N
PROMPT_O,"<prosody rate=""fast"">",</prosody>,O
PROMPT_P,"<prosody rate=""fast"">",</prosody>,P
PROMPT_Q,"<prosody rate=""fast"">",</prosody>,Q
PROMPT_R,"<prosody rate=""fast"">",</prosody>,R
PROMPT_S,"<prosody rate=""fast"">",</prosody>,S
PROMPT_T,"<prosody rate=""fast"">",</prosody>,T
PROMPT_U,"<prosody rate=""fast"">",</prosody>,U
PROMPT_V,"<prosody rate=""fast"">",</prosody>,V
PROMPT_W,"<prosody rate=""fast"">",</prosody>,W
PROMPT_X,"<prosody rate=""fast"">",</prosody>,X
PROMPT_Y,"<prosody rate=""fast"">",</prosody>,Y
PROMPT_Z,"<prosody rate=""fast"">",</prosody>,Zed
PROMPT_Z2,"<prosody rate=""fast"">",</prosody>,Z
PROMPT_CHANNEL,,,CHANNEL
PROMPT_CONTACT,,,CONTACT
PROMPT_DBM,,,DBM
PROMPT_ENTRY,,,ENTRY
PROMPT_MEGAHERTZ,,,MEGAHERTZ
PROMPT_KILOHERTZ,,,KILOHERTZ
PROMPT_TALKGROUP,,,TALKGROUP
PROMPT_TIMESLOT,,,TIMESLOT
PROMPT_VFO,,,VFO
PROMPT_SECONDS,,,Seconds
PROMPT_Minutes,,,Minutes
PROMPT_Hours,,,Hours
PROMPT_VOLTS,,,Volts
PROMPT_WATT,,,Watt
PROMPT_WATTS,,,Watts
PROMPT_MILLIWATTS,,,Milliwatts
PROMPT_PERCENT,,,Percent
PROMPT_RECEIVE,,,Receive
PROMPT_Transmit,,,Transmit
PROMPT_HASH,,,Hash
PROMPT_STAR,,,Start
PROMPT_GREEN,,,Green
PROMPT_RED,,,Red
PROMPT_VERSION,,,Version
PROMPT_MODE,,,Mode
PROMPT_DMR,,,D M R
PROMPT_FM,,,F M
PROMPT_WIDE,,,Wide
PROMPT_NARROW,,,Narrow
PROMPT_PLUS,,,Plus
PROMPT_MINUS,,,Minus
PROMPT_TBD1,,,
PROMPT_TBD2,,,
PROMPT_TBD3,,,
PROMPT_TBD4,,,
PROMPT_TBD5,,,
PROMPT_TBD6,,,
PROMPT_TBD7,,, 
PROMPT_TBD8,,, 
LANGUAGE_NAME,,,English
menu,,,Menu
credits,,,Credits
zone,,,Zone
rssi,,,RSSI
battery,,,Battery
contacts,,,Contacts
last_heard,,,Last heard
firmware_info,,,Firmware info
options,,,Options
display_options,,,Display options
sound_options,,,Sound options
channel_details,,,Channel details
language,,,Language
new_contact,,,New contact
contact_list,,,Contact list
contact_details,,,Contact Details
hotspot_mode,,,Hotspot mode
built,,,Built
zones,,,Zones
keypad,,,Keypad
ptt,,,P T T
locked,,,Locked
press_blue_plus_star,,,Press Blue + star
to_unlock,,,to unlock
unlocked,,,Unlocked
power_off,,,Power Off
error,,,ERROR
rx_only,,,Receive only
out_of_band,,,OUT OF BAND
timeout,,,TIMEOUT
tg_entry,,,Talkgroup entry
pc_entry,,,Private call entry
user_dmr_id,,,User D M R  ID
contact,,,Contact
accept_call,,,Accept call?
private_call,,,Private Call
squelch,,,Squelch
quick_menu,,,Quick Menu
filter,,,Filter
all_channels,,,All Channels
gotoChannel,,,Goto
scan,,,Scan
channelToVfo,,,Channel to V F O
vfoToChannel,,,V F O to Channel
vfoToNewChannel,,,V F O to New Channel
group,,,Group
private,,,Private
all,,,All
type,,,Type
timeSlot,,,Timeslot
none,,,None
contact_saved,,,Contact saved
duplicate,,,Duplicate
tg,,,TG
pc,,,PC
ts,,,TS
mode,,,Mode
colour_code,,,Color Code
n_a,,,Not applicable
bandwidth,,,Bandwidth
stepFreq,,,Step
tot,,,T O T
off,,,Off
zone_skip,,,Zone Skip
all_skip,,,All Skip
yes,,,Yes
no,,,No
rx_group,,,Rx Group
on,"<emphasis level=""strong"">",</emphasis>,On
timeout_beep,,,Timeout beep
factory_reset,,,Factory Reset
calibration,,,Calibration
band_limits,,,Band Limits
beep_volume,,,Beep volume
dmr_mic_gain,,,D M R mic gain
fm_mic_gain,,,F M mic gain
key_long,,,Key long
key_repeat,,,Key repeat
dmr_filter_timeout,,,Filter time
brightness,,,Brightness
brightness_off,,,Minimum brightness
contrast,,,Contrast
colour_invert,,,Invert
colour_normal,,,Normal
backlight_timeout,,,Timeout
scan_delay,,,Scan delay
yes___in_uppercase,,,YES
no___in_uppercase,,,NO
DISMISS,,,DISMISS
scan_mode,,,Scan mode
hold,,,Hold
pause,,,Pause
empty_list,,,Empty List
delete_contact_qm,,,Delete contact?
contact_deleted,,,Contact deleted
contact_used,,,Contact used
in_rx_group,,,In R X group
select_tx,,,Select T X
edit_contact,,,Edit Contact
delete_contact,,,Delete Contact
group_call,,,Group Call
all_call,,,All Call
tone_scan,,,Tone scan
low_battery,,,LOW BATTERY
Auto,,,Auto
manual,,,Manual
ptt_toggle,,,P T T latch
private_call_handling,,,Allow Private call
stop,,,Stop
one_line,,,1 line
two_lines,,,2 lines
new_channel,,,New channel
priority_order,,,Order
dmr_beep,,,D M R beep
start,,,Start
both,,,Both
vox_threshold,,,VOX Threshold
vox_tail,,,VOX Tail
audio_prompt,,,Prompt
silent,,,Silent
normal,,,Normal
beep,,,Beep
voice,,,Voice
transmitTalkerAlias,,,Talker Alias Transmit
squelch_VHF,,,V H F squelch
squelch_220,,,220 Megahertz squelch
squelch_UHF,,,U H F squelch
display_background_colour,,,Display backround colour
