PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
PROMPT_SPACE,,, 
PROMPT_POINT,,,PONTO
PROMPT_0,,,0
PROMPT_1,,,1
PROMPT_2,,,2
PROMPT_3,,,3
PROMPT_4,,,4
PROMPT_5,,,5
PROMPT_6,,,6
PROMPT_7,,,7
PROMPT_8,,,8
PROMPT_9,,,9
PROMPT_A,,,A
PROMPT_B,,,B
PROMPT_C,,,C
PROMPT_D,,,D
PROMPT_E,,,E
PROMPT_F,,,F
PROMPT_G,,,G
PROMPT_H,,,H
PROMPT_I,,,I
PROMPT_J,,,J
PROMPT_K,,,K
PROMPT_L,,,L
PROMPT_M,,,M
PROMPT_N,,,N
PROMPT_O,,,O
PROMPT_P,,,P
PROMPT_Q,,,Q
PROMPT_R,,,R
PROMPT_S,,,S
PROMPT_T,,,T
PROMPT_U,,,U
PROMPT_V,,,V
PROMPT_W,,,W
PROMPT_X,,,X
PROMPT_Y,,,Y
PROMPT_Z,,,Z
PROMPT_Z2,,,Zee
PROMPT_CHANNEL,,,Canal
PROMPT_CONTACT,,,Contato
PROMPT_MILLISECONDS,,,Milissegundos
PROMPT_MEGAHERTZ,,,MEGAHERTZ
PROMPT_KILOHERTZ,,,KILOHERTZ
PROMPT_TALKGROUP,,,TALKGROUP
PROMPT_TIMESLOT,,,TIMESLOT
PROMPT_VFO,,,VFO
PROMPT_SECONDS,,,Segundos
PROMPT_MINUTES,,,Minutos
PROMPT_VOLTS,,,Volts
PROMPT_WATT,,,WATT
PROMPT_WATTS,,,WATTS
PROMPT_MILLIWATTS,,,MILLIWATTS
PROMPT_PERCENT,,,Porcento
PROMPT_RECEIVE,,,Recepção
PROMPT_TRANSMIT,,,Transmissão
PROMPT_MODE,,,Modo
PROMPT_DMR,,,D M R
PROMPT_FM,,,F M
PROMPT_PLUS,,,Mais
PROMPT_MINUS,,,Menos
PROMPT_VFO_EXCHANGE_TX_RX,,,Exchange Tx and Rx frequencies
PROMPT_VFO_COPY_RX_TO_TX,,,Copy Receive frequency to Transmit frequency
PROMPT_VFO_COPY_TX_TO_RX,,,Copy Transmit frequency to Receive frequency
PROMPT_POWER,,,power
PROMPT_CHANNEL_MODE,,,channel mode
PROMPT_SCAN_MODE,,,scan mode
PROMPT_TIMESLOT_MODE,,,timeslot mode
PROMPT_FILTER_MODE,,,filter mode
PROMPT_ZONE_MODE,,,zone mode
PROMPT_POWER_MODE,,,power mode
PROMPT_COLORCODE_MODE,,,color code mode
PROMPT_HERTZ,,,HERTZ
PROMPT_SETTINGS_UPDATE,,,Settings update
LANGUAGE_NAME,,,Português
PROMPT_STAR,,,Star
PROMPT_HASH,,,Hash
menu,,,Menu
credits,,,Créditos
zone,,,Zona
rssi,,,Sinal Recebido
battery,,,Bateria
contacts,,,Contatos
last_heard,,,Último escutado
firmware_info,,,Versão Firmware
options,,,Opções
display_options,,,Opções do display
sound_options,,,Opções de som
channel_details,,,Detalhes Canal
language,,,Idioma
new_contact,,,Novo Contato
dmr_contacts,,,Lista Contatos
contact_details,,,Detalhes do contato
hotspot_mode,,,Modo ponto de acesso
built,,,Compilado
zones,,,Zonas
keypad,,,Teclado
ptt,,,PTT
locked,,,Bloqueado
press_blue_plus_star,,,Pressione o botão azul e asterisco
to_unlock,,,Para Desbloquear
unlocked,,,Desbloqueado
power_off,,,Desligando...
error,,,ERRO!
rx_only,,,Apenas recepção
out_of_band,,,FORA DE BANDA
timeout,,,TEMPO ESGOTADO
tg_entry,,,Entrada TG
pc_entry,,,Entrada PC
user_dmr_id,,,D M R ID 
contact,,,Contato
accept_call,,,Aceitar Chamada?
private_call,,,Chamada Privada
squelch,,,Squelch
quick_menu,,,Menu Rápido
filter,,,Filtro
all_channels,,,Todos os canais
gotoChannel,,,Ir para canal
scan,,,Escanear
