PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
PROMPT_SPACE,,, 
PROMPT_POINT,,,PUNTO
PROMPT_0,,,0
PROMPT_1,,,1
PROMPT_2,,,2
PROMPT_3,,,3
PROMPT_4,,,4
PROMPT_5,,,5
PROMPT_6,,,6
PROMPT_7,,,7
PROMPT_8,,,8
PROMPT_9,,,9
PROMPT_A,,,A
PROMPT_B,,,B
PROMPT_C,,,C
PROMPT_D,,,D
PROMPT_E,,,E
PROMPT_F,,,F
PROMPT_G,,,G
PROMPT_H,,,H
PROMPT_I,,,I
PROMPT_J,,,J
PROMPT_K,,,K
PROMPT_L,,,L
PROMPT_M,,,M
PROMPT_N,,,N
PROMPT_O,,,O
PROMPT_P,,,P
PROMPT_Q,,,Q
PROMPT_R,,,R
PROMPT_S,,,S
PROMPT_T,,,T
PROMPT_U,,,U
PROMPT_V,,,V
PROMPT_W,,,W
PROMPT_X,,,X
PROMPT_Y,,,Y
PROMPT_Z,,,Z
PROMPT_Z2,,,Z
PROMPT_CHANNEL,,,CANAL
PROMPT_CONTACT,,,CONTACTO
PROMPT_DBM,,,D B M
PROMPT_ENTRY,,,ENTRADA
PROMPT_MEGAHERTZ,,,MEGAHERZIOS
PROMPT_KILOHERTZ,,,KILOHERZIOS
PROMPT_TALKGROUP,,,TALKGROUP
PROMPT_TIMESLOT,,,TAIMESLOT
PROMPT_VFO,,,V F O
PROMPT_SECONDS,,,Segundos
PROMPT_Minutes,,,Minutos
PROMPT_Hours,,,Horas
PROMPT_VOLTS,,,Voltios
PROMPT_WATT,,,Vatio
PROMPT_WATTS,,,Vatios
PROMPT_MILLIWATTS,,,Milivatios
PROMPT_PERCENT,,,Por ciento
PROMPT_RECEIVE,,,Recepción
PROMPT_Transmit,,,Transmisión
PROMPT_HASH,,,Almohadilla
PROMPT_STAR,,,Asterisco
PROMPT_GREEN,,,Verde
PROMPT_RED,,,Rojo
PROMPT_VERSION,,,Versión
PROMPT_MODE,,,Modo
PROMPT_DMR,,,D M R
PROMPT_FM,,,F M
PROMPT_WIDE,,,Ancho
PROMPT_NARROW,,,Estrecho
PROMPT_PLUS,,,más
PROMPT_MINUS,,,menos
PROMPT_VFO_EXCHANGE_TX_RX,,,Intercambia frecuencias T X y R X
PROMPT_VFO_COPY_RX_TO_TX,,,Copia frecuencia R X a frecuencia T X
PROMPT_VFO_COPY_TX_TO_RX,,,Copia frecuencia T X a frecuencia R X
PROMPT_POWER,,,potencia
PROMPT_CHANNEL_MODE,,,modo canal
PROMPT_SCAN_MODE,,,modo scaner
PROMPT_TIMESLOT_MODE,,,modo taimeslot
PROMPT_FILTER_MODE,,,modo filtro
PROMPT_ZONE_MODE,,,modo zona
PROMPT_POWER_MODE,,,modo potencia
PROMPT_COLORCODE_MODE,,,modo codigo color
PROMPT_HERTZ,,,HERZIOS
PROMPT_TBD2,,,
PROMPT_TBD3,,,
PROMPT_TBD4,,,
PROMPT_TBD5,,,
PROMPT_TBD6,,,
PROMPT_TBD7,,,
PROMPT_TBD8,,,
PROMPT_TBD9,,,
PROMPT_TBD10,,,
PROMPT_TBD11,,,
PROMPT_TBD12,,,
PROMPT_TBD13,,,
PROMPT_TBD14,,,
PROMPT_TBD15,,,
PROMPT_TBD16,,,
PROMPT_TBD17,,,
PROMPT_TBD18,,,
PROMPT_TBD19,,,
PROMPT_TBD20,,,
LANGUAGE_NAME,,,Español
menu,,,Menú
credits,,,Créditos
zone,,,Zona
rssi,,,R S S I
battery,,,Batería
contacts,,,Contactos
last_heard,,,Últimos escuchados
firmware_info,,,Información Firmware
options,,,Opciones
display_options,,,Opciones pantalla
sound_options,,,Opciones sonido
channel_details,,,Detalles Canal
language,,,Idioma
new_contact,,,Nuevo contacto
contact_list,,,Lista contactos
contact_details,,,Detalles contacto
hotspot_mode,,,Modo Jotspot
built,,,Compilado
zones,,,Zonas
keypad,,,Teclado
ptt,,,P T T
locked,,,Bloqueado
press_blue_plus_star,,,Pulsa azul y asterisco
to_unlock,,,para desbloquear
unlocked,,,Desbloqueado
power_off,,,Apagando...
error,,,ERROR
rx_only,,,Solo Recepción
out_of_band,,,FUERA DE BANDA
timeout,,,TIMEOUT
tg_entry,,,Entrar T G
pc_entry,,,Entrar P C
user_dmr_id,,,I D Usuario
contact ,,,Contacto
accept_call,,,Aceptar llamada privada?
private_call,,,Llamada Privada
squelch,,,escuelch
quick_menu ,,,Menú rápido
filter,,,Filtro
all_channels,,,Lista Canales
gotoChannel,,,Ir a canal
scan,,,Escanear
channelToVfo,,,Copia Canal a V F O
vfoToChannel,,,Copia V F O a Canal
vfoToNewChannel,,,Copia V F O a Nuevo Canal
group,,,Grupo
private,,,Privado
all,,,Todos
type,,,Tipo
timeSlot,,,Taimeslot
none,,,Ninguno
contact_saved,,,Contacto grabado
duplicate,,,Duplicado
tg,,,T G
pc,,,P C
ts,,,T S
mode,,,Modo
colour_code,,,Código Color
n_a,,,No disponible
bandwidth,,,Ancho de banda
stepFreq,,,Paso
tot,,,TOT
off,,,Apagado
zone_skip,,,Saltar zona
all_skip,,,Saltar todo
yes,,,Si
no,,,No
rx_group,,,Grupo recepción
on,,,Activado
timeout_beep,,,Sonido TOT
factory_reset,,,Reset fabrica
calibration,,,Calibración
band_limits,,,Limite Banda
beep_volume,,,Volumen pitido
dmr_mic_gain,,,Ganacia Micro D M R
fm_mic_gain,,,Ganancia Micro F M
key_long,,,Pulsación larga
key_repeat,,,Repetición de tecla
dmr_filter_timeout,,,Tiempo límite de filtro
brightness,,,Brillo
brightness_off,,,Brillo mínimo
contrast,,,Contraste
colour_invert,,,Color Invertido
colour_normal,,,Color Normal
backlight_timeout,,,Tiempo luz
scan_delay,,,Tiempo Scan
yes___in_uppercase,,,SI
no___in_uppercase,,,NO
DISMISS,,,DESCARTAR
scan_mode,,,Modo Scan
hold,,,Detener
pause,,,Pausar
empty_list,,,Lista vacía
delete_contact_qm,,,Borrar contacto?
contact_deleted,,,Contacto borrado
contact_used,,,Contacto usado
in_rx_group,,,en grupo R X
select_tx,,,Selecciona T X
edit_contact,,,Editar contacto
delete_contact,,,Borrar contacto
group_call,,,Llamada Grupo
