PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
PROMPT_SPACE,,, 
PROMPT_POINT,,,Nokta
PROMPT_0,,,0
PROMPT_1,,,1
PROMPT_2,,,2
PROMPT_3,,,3
PROMPT_4,,,4
PROMPT_5,,,5
PROMPT_6,,,6
PROMPT_7,,,7
PROMPT_8,,,8
PROMPT_9,,,9
PROMPT_A,,,A
PROMPT_B,,,B
PROMPT_C,,,C
PROMPT_D,,,D
PROMPT_E,,,E
PROMPT_F,,,F
PROMPT_G,,,G
PROMPT_H,,,H
PROMPT_I,,,I
PROMPT_J,,,J
PROMPT_K,,,K
PROMPT_L,,,L
PROMPT_M,,,M
PROMPT_N,,,N
PROMPT_O,,,O
PROMPT_P,,,P
PROMPT_Q,,,Q
PROMPT_R,,,R
PROMPT_S,,,S
PROMPT_T,,,T
PROMPT_U,,,U
PROMPT_V,,,V
PROMPT_W,,,W
PROMPT_X,,,X
PROMPT_Y,,,Y
PROMPT_Z,,,Z
PROMPT_Z2,,,Z
PROMPT_CHANNEL,,,KANAL
PROMPT_CONTACT,,,?LET???M
PROMPT_DBM,,,DBM
PROMPT_ENTRY,,,G?R??
PROMPT_MEGAHERTZ,,,MEGAHERTZ
PROMPT_KILOHERTZ,,,PROMPT_KILOHERTZ
PROMPT_TALKGROUP,,,talkgroup
PROMPT_TIMESLOT,,,ZAMAN ARALI?I
PROMPT_VFO,,,V F O
PROMPT_SECONDS,,,Saniye
PROMPT_Minutes,,,Dakika
PROMPT_Hours,,,Saatler
PROMPT_VOLTS,,,Volt
PROMPT_WATT,,,vat
PROMPT_WATTS,,,Watts
PROMPT_MILLIWATTS,,,miliwatt
PROMPT_PERCENT,,,Yüzde
PROMPT_RECEIVE,,,Teslim almak
PROMPT_Transmit,,,?letim
PROMPT_HASH,,,esrar
PROMPT_STAR,,,Ba?lat
PROMPT_GREEN,,,Ye?il
PROMPT_RED,,,K?rm?z?
PROMPT_VERSION,,,versiyon
PROMPT_MODE,,,kip
PROMPT_DMR,,,D M R
PROMPT_FM,,,F M
PROMPT_WIDE,,,Geni?
PROMPT_NARROW,,,Dar
PROMPT_PLUS,,,Art?
PROMPT_MINUS,,,Eksi
PROMPT_VFO_EXCHANGE_TX_RX,,,Exchange Tx and Rx frequencies
PROMPT_VFO_COPY_RX_TO_TX,,,Copy Receive frequency to Transmit frequency
PROMPT_VFO_COPY_TX_TO_RX,,,Copy Transmit frequency to Receive frequency
PROMPT_POWER,,,power
PROMPT_CHANNEL_MODE,,,channel mode
PROMPT_SCAN_MODE,,,scan mode
PROMPT_TIMESLOT_MODE,,,timeslot mode
